bill_id,state,bill_number,title,date of introduction,chamber of origin,final status,date of final,text
622458,AL,SB371,"Climatologist, office established, powers and duties",2014-02-18,S,Read for the first time and referred to the Senate committee on Governmental Affairs,2014-02-18,https://legiscan.com/AL/text/SB371/id/961864
622643,AL,HB507,"Climatologist, office established, powers and duties",2014-02-18,H,Read for the first time and referred to the House of Representatives committee on Education Policy,2014-02-18,https://legiscan.com/AL/text/HB507/id/962134
990248,AK,HB173,Climate Change Commission,2017-03-10,H,REFERRED TO RESOURCES,2017-05-10,https://legiscan.com/AK/text/HB173/id/1613860
1346751,AK,SB216,Climate Change Commission,2020-02-21,S,COSPONSOR(S): KAWASAKI,2020-02-21,https://legiscan.com/AK/text/SB216/id/2146138
810369,AK,HB233,Climate Change Commission,2016-01-19,H,REFERRED TO RESOURCES,2016-01-19,https://legiscan.com/AK/text/HB233/id/1289745
672684,AK,HB1,State Arctic Policy,2015-01-21,H,EFFECTIVE DATE(S) OF LAW 8/9/15,2015-05-12,https://legiscan.com/AK/text/HB1/id/1212903
990321,AK,SB87,School Construction Energy Efficiency Std,2017-03-10,S,REFERRED TO FINANCE,2017-03-29,https://legiscan.com/AK/text/SB87/id/1578925
1607659,AK,SB233,Pfd Allowable Absence; Application Period,2022-03-15,S,REFERRED TO STATE AFFAIRS,2022-04-29,https://legiscan.com/AK/text/SB233/id/2576037
628584,AK,HB341,"School Construction, Design & Funding",2014-02-26,H,REFERRED TO EDUCATION,2014-02-26,https://legiscan.com/AK/text/HB341/id/971311
449667,AK,HB52,Pfd Allowable Absence,2013-01-16,H,EFFECTIVE DATE(S) OF LAW SEE CHAPTER,2013-06-24,https://legiscan.com/AK/text/HB52/id/830958
1486190,AK,HB142,Pfd Eligibility,2021-03-20,H,REFERRED TO FINANCE,2022-04-29,https://legiscan.com/AK/text/HB142/id/2577284
683740,AK,SB16,State Arctic Policy And Reports,2015-01-21,S,REFERRED TO ARCTIC,2015-01-21,https://legiscan.com/AK/text/SB16/id/1076310
1583479,AK,HB298,Food Strategy Task Force; Loan Programs,2022-02-04,H,AWAITING TRANSMITTAL TO GOV,2022-05-17,https://legiscan.com/AK/text/HB298/id/2584918
298777,AK,HB190,Pfd Allowable Absence,2011-03-11,,HELD ON SECRETARY'S DESK,2012-04-15,https://legiscan.com/AK/text/HB190/id/626531
133582,AK,SB94,Pfd Allowable Absence: Antarctic Program,2009-02-04,,REFERRED TO FINANCE,2009-03-13,https://legiscan.com/AK/text/SB94/id/412878
1301815,AK,HB190,Pfd Allowable Absences,2020-01-21,H,REFERRED TO FINANCE,2020-03-23,https://legiscan.com/AK/text/HB190/id/2175265
