people_id,party,role,name
14959,R,Rep,John Payton
12101,R,Sen,Missy Irvin
16900,R,Rep,Mary Bentley
16336,R,Rep,Robin Lundstrum
14957,R,Rep,Josh Miller
20781,D,Rep,Jamie Scott
16334,R,Rep,Brandt Smith
18020,R,Rep,Carlton Wing
14930,R,Sen,Bob Ballinger
21895,R,Sen,Charles Beckham
11366,R,Sen,Cecile Bledsoe
14968,R,Sen,Ronald Caldwell
10772,D,Sen,Linda Chesterfield
14966,R,Sen,Alan Clark
20838,R,Sen,Breanne Davis
11831,R,Sen,Jonathan Dismang
16906,R,Sen,Lance Eads
11693,D,Sen,Joyce Elliott
10657,R,Sen,Jane English
16963,R,Sen,Scott Flippo
18011,R,Sen,Trent Garner
21699,R,Sen,Ben Gilmore
12186,R,Sen,Kim Hammer
14974,I,Sen,Jim Hendren
20405,R,Sen,Ricky Hill
11148,D,Sen,Keith Ingram
16381,R,Sen,Blake Johnson
20017,R,Sen,Mark Johnson
11991,D,Sen,Greg Leding
12020,R,Sen,Jason Rapert
12468,R,Sen,Terry Rice
11363,R,Sen,Bill Sample
12483,R,Sen,Gary Stubblefield
16923,R,Sen,James Sturch
16337,R,Sen,Dan Sullivan
10674,D,Sen,Larry Teague
16924,D,Sen,Clarke Tucker
16339,R,Sen,David Wallace
14944,R,Rep,Bill Gossage
16901,D,Rep,Charles Blake
14932,R,Rep,Kenneth Bragg
14939,R,Rep,Andy Davis
14941,D,Rep,Eddie Armstrong
12108,R,Rep,Jon Eubanks
14949,R,Rep,Douglas House
16914,D,Rep,Michael Gray
16926,R,Rep,Deann Vaught
11875,D,Rep,Henry Wilkins
10671,D,Sen,David Johnson
12464,D,Rep,Frederick Love
14961,D,Rep,Warwick Sabin
11684,R,Rep,Nate Bell
11362,R,Rep,David Branscum
14935,R,Rep,Charlotte Douglas
12073,D,Rep,John Catlett
12111,R,Rep,Ann Clemmer
14058,R,Rep,Joe Farrer
12414,R,Rep,Jeremy Gillam
12242,R,Rep,Mary Hickerson
12018,R,Sen,Bruce Holland
10675,R,Sen,Johnny Key
14588,R,Rep,Logan Jett
10668,D,Rep,Sheilla Lampkin
10769,D,Rep,Homer Lenderman
12109,D,Rep,John Vines
12719,R,Rep,Bruce Cozart
