bill_id,state,bill_number,title,date of introduction,chamber of origin,final status,date of final,text
840483,AZ,HB2684,Climate change; study committee,2016-05-05,H,Introduced in House and read first time,2016-05-05,https://legiscan.com/AZ/text/HB2684/id/1328090
1581606,AZ,HB2682,Study committee on climate change,2022-02-07,H,House read second time,2022-02-08,https://legiscan.com/AZ/text/HB2682/id/2504162
1426212,AZ,SB1470,Arizona climate resiliency planning group,2021-01-28,S,Senate read second time,2021-02-01,https://legiscan.com/AZ/text/SB1470/id/2262250
1572195,AZ,SB1434,Arizona climate resiliency planning group,2022-01-26,S,Senate read second time,2022-01-27,https://legiscan.com/AZ/text/SB1434/id/2491089
459183,AZ,HB2404,Building codes; energy efficiency,2013-01-22,H,House minority caucus: Do pass,2013-05-02,https://legiscan.com/AZ/text/HB2404/id/832873
1322544,AZ,SB1368,Science academic standards; climate change,2020-01-29,S,Senate read second time,2020-01-30,https://legiscan.com/AZ/text/SB1368/id/2113426
608086,AZ,SB1274,Aquifer protection permits; post-closure procedure,2014-01-30,S,Chapter 115,2014-04-22,https://legiscan.com/AZ/text/SB1274/id/1035973
1415796,AZ,HB2496,Climate change; state plan,2021-01-27,H,House read second time,2021-01-28,https://legiscan.com/AZ/text/HB2496/id/2251358
1311420,AZ,HB2565,Arizona resiliency planning group,2020-01-27,H,House read second time,2020-01-28,https://legiscan.com/AZ/text/HB2565/id/2100785
1558636,AZ,HB2407,Ambulances; mileage rate calculation,2022-01-24,H,Chapter 217,2022-05-03,https://legiscan.com/AZ/text/HB2407/id/2580360
819241,AZ,SB1189,Department of forestry,2016-01-20,S,Chapter 145,2016-05-11,https://legiscan.com/AZ/text/SB1189/id/1408790
1549554,AZ,SB1132,Municipal bonds; environmental sustainability; prohibition,2022-01-11,S,Senate read second time,2022-01-12,https://legiscan.com/AZ/text/SB1132/id/2468908
1571693,AZ,HB2609,Ambulance services; certificates of necessity,2022-02-03,H,Transmit to House,2022-05-18,https://legiscan.com/AZ/text/HB2609/id/2586336
439753,AZ,SB1017,Mining and mineral museum; restoration,2013-01-14,S,Referred to Senate APPROP Committee,2013-01-15,https://legiscan.com/AZ/text/SB1017/id/672801
572825,AZ,SB1023,Mining and mineral museum; restoration,2014-01-13,S,Referred to Senate APPROP Committee,2014-01-14,https://legiscan.com/AZ/text/SB1023/id/900499
671148,AZ,SB1016,Mining and mineral museum; restoration,2015-01-12,S,Referred to Senate APPROP Committee,2015-01-13,https://legiscan.com/AZ/text/SB1016/id/1063435
698160,AZ,SB1200,Mining and mineral museum; transfer,2015-01-27,S,Governor Vetoed,2015-04-09,https://legiscan.com/AZ/text/SB1200/id/1199353
119596,AZ,HB2251,Technical correction; firefighters; military duty,2010-02-24,,Governor Signed,2010-05-06,https://legiscan.com/AZ/text/HB2251/id/499082
