people_id,party,role,name
17811,D,Rep,Celeste Plumlee
14708,D,Sen,Andrew Sherwood
18981,D,Rep,Daniel Hernandez
22835,D,Rep,Jasmine Blackwater-Nygren
18040,D,Rep,Pamela Hannley
20908,D,Rep,Amish Shah
23024,D,Rep,Christian Solorio
18568,D,Sen,Kirsten Engel
14554,D,Sen,Lupe Contreras
20752,D,Rep,Diego Rodriguez
14704,D,Sen,Juan Mendez
15258,D,Sen,Rosanna Gabaldon
10704,D,Sen,Sally Gonzales
13923,D,Sen,Martin Quezada
20808,D,Sen,Raquel Teran
16775,D,Rep,Richard Andrade
14700,D,Rep,Andrea Dalessandro
22440,D,Rep,Melody Hernandez
23022,D,Rep,Sarah Liguori
10701,R,Rep,Heather Carter
10708,R,Sen,Gail Griffin
4273,R,Sen,Nancy Barto
4252,R,Sen,Judy Burges
10683,R,Sen,Chester Crandell
4275,R,Sen,Adam Driggs
4301,D,Sen,Barbara McGuire
13693,R,Rep,Justin Pierce
15257,D,Rep,Mark Cardenas
4233,R,Rep,David Gowan
4235,R,Rep,Franklin Pratt
4286,R,Rep,Andy Tobin
4228,R,Sen,Andy Biggs
11744,R,Sen,David Farnsworth
10714,D,Sen,Steve Gallardo
4278,R,Sen,John McComish
4231,R,Sen,Albert Melvin
4249,D,Sen,Lynne Pancrazi
4295,R,Sen,Michele Reagan
10711,R,Sen,Don Shooter
14713,R,Sen,Kelli Ward
15260,R,Sen,Bob Worsley
4287,R,Sen,Steven Yarbrough
10706,R,Sen,Kimberly Yee
14709,R,Rep,Thomas Shope
20689,D,Rep,Aaron Lieberman
18772,D,Rep,Kelli Butler
20572,D,Rep,Jennifer Jermaine
22290,D,Sen,Christine Marsh
20750,D,Rep,Andres Cano
4232,R,Sen,Sylvia Allen
17812,R,Sen,Susan Donahue
10689,R,Sen,Steve Smith
16644,R,Rep,Russell Bowers
16652,R,Rep,Vince Leach
21903,R,Sen,Wendy Rogers
20688,R,Rep,Frank Carroll
18652,R,Rep,David Cook
10679,R,Rep,John Fillmore
16506,R,Rep,Mark Finchem
20743,R,Rep,Joanne Osborne
18663,R,Rep,Kevin Payne
21902,R,Rep,Beverly Pingerelli
14703,R,Sen,David Livingston
14712,R,Sen,Kelly Townsend
4242,D,Sen,Edward Ableser
4261,R,Rep,Russell Jones
