bill_id,state,bill_number,title,date of introduction,chamber of origin,final status,date of final,text
729552,CA,SB246,Climate change adaptation.,2015-02-18,S,"Chaptered by Secretary of State. Chapter 606, Statutes of 2015.",2015-10-08,https://legiscan.com/CA/text/SB246/id/1265138
741593,CA,AB1482,Climate adaptation.,2015-02-27,A,"Chaptered by Secretary of State - Chapter 603, Statutes of 2015.",2015-10-08,https://legiscan.com/CA/text/AB1482/id/1265282
853586,CA,AB2800,Climate change: infrastructure planning.,2016-02-19,A,"Chaptered by Secretary of State - Chapter 580, Statutes of 2016.",2016-09-24,https://legiscan.com/CA/text/AB2800/id/1431482
1454898,CA,AB897,Office of Planning and Research: regional climate networks: regional climate adaptation and resilience action plans.,2021-02-17,A,In committee: Held under submission.,2021-08-26,https://legiscan.com/CA/text/AB897/id/2424682
1196330,CA,AB409,Climate change: agriculture: Agricultural Climate Adaptation Tools Program: grants.,2019-02-07,A,In committee: Held under submission.,2019-08-30,https://legiscan.com/CA/text/AB409/id/2048566
1345578,CA,AB2621,Office of Planning and Research: regional climate networks: climate adaptation action plans.,2020-02-20,A,In committee: Held under submission.,2020-08-20,https://legiscan.com/CA/text/AB2621/id/2205169
624699,CA,SB1217,Climate change: preparedness.,2014-02-20,S,"Set, second hearing. Held under submission.",2014-08-14,https://legiscan.com/CA/text/SB1217/id/1038699
1343125,CA,AB2371,Climate change: Office of Planning and Research: science advisory team: climate adaptation and hazard mitigation.,2020-02-18,A,"From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Com. on EQ.",2020-07-08,https://legiscan.com/CA/text/AB2371/id/2199774
1347781,CA,SB1320,Climate change: California Climate Change Assessment.,2020-02-21,S,"Chaptered by Secretary of State. Chapter 136, Statutes of 2020.",2020-09-24,https://legiscan.com/CA/text/SB1320/id/2209824
1083810,CA,SB1015,Natural Resources Climate Resiliency Program.,2018-02-07,S,August 16 hearing: Held in committee and under submission.,2018-08-16,https://legiscan.com/CA/text/SB1015/id/1815268
1177488,CA,SB168,Climate change: Chief Climate Resilience Officer.,2019-01-28,S,August 30 hearing: Held in committee and under submission.,2019-08-30,https://legiscan.com/CA/text/SB168/id/2044087
1177638,CA,AB296,Climate change: Climate Innovation Grant Program: voluntary tax contributions.,2019-01-28,A,Consideration of Governor's veto stricken from file.,2020-01-23,https://legiscan.com/CA/text/AB296/id/2052596
1215664,CA,SB576,"Coastal resources: Climate Ready Program and coastal climate change adaptation, infrastructure, and readiness program.",2019-02-22,S,"Chaptered by Secretary of State. Chapter 374, Statutes of 2019.",2019-09-27,https://legiscan.com/CA/text/SB576/id/2055346
1347599,CA,AB3256,"Economic Recovery, Wildfire Prevention, Safe Drinking Water, Drought Preparation, and Flood Protection Bond Act of 2020.",2020-02-21,A,Re-referred to Com. on RLS.,2020-06-08,https://legiscan.com/CA/text/AB3256/id/2190583
1345757,CA,AB2800,Climate change: state infrastructure planning: Climate-Safe Infrastructure Working Group.,2020-02-20,A,"Chaptered by Secretary of State - Chapter 118, Statutes of 2020.",2020-09-24,https://legiscan.com/CA/text/AB2800/id/2209825
1131944,CA,SB45,"Wildfire Prevention, Safe Drinking Water, Drought Preparation, and Flood Protection Bond Act of 2020.",2018-12-03,S,In Assembly. Read first time. Held at Desk.,2020-01-30,https://legiscan.com/CA/text/SB45/id/2109544
1458935,CA,AB1384,"Resiliency Through Adaptation, Economic Vitality, and Equity Act of 2022.",2021-02-19,A,Ordered to inactive file at the request of Senator Hertzberg.,2021-09-10,https://legiscan.com/CA/text/AB1384/id/2430133
1132018,CA,AB65,Coastal protection: climate adaption: project prioritization: natural infrastructure: local general plans.,2018-12-03,A,"Chaptered by Secretary of State - Chapter 347, Statutes of 2019.",2019-09-27,https://legiscan.com/CA/text/AB65/id/2055330
1385447,CA,SB27,Carbon sequestration: state goals: natural and working lands: registry of projects.,2020-12-07,S,"Chaptered by Secretary of State. Chapter 237, Statutes of 2021.",2021-09-23,https://legiscan.com/CA/text/SB27/id/2434216
1459051,CA,AB1500,"Safe Drinking Water, Wildfire Prevention, Drought Preparation, Flood Protection, Extreme Heat Mitigation, and Workforce Development Bond Act of 2022.",2021-02-19,A,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,2022-02-01,https://legiscan.com/CA/text/AB1500/id/2394181
952822,CA,SB262,Climate change: climate adaptation: advisory council.,2017-02-08,S,August 16 hearing: Held in committee and under submission.,2018-08-16,https://legiscan.com/CA/text/SB262/id/1808927
1586997,CA,AB1913,Los Angeles Community College District: California Center for Climate Change Education.,2022-02-09,A,Re-referred to Com. on HIGHER ED.,2022-03-29,https://legiscan.com/CA/text/AB1913/id/2559608
61988,CA,AJR26,Climate change.,2009-09-09,,"Chaptered by Secretary of State - Res. Chapter 114, Statutes of 2010.",2010-08-30,https://legiscan.com/CA/text/AJR26/id/59508
1554354,CA,AB1640,Office of Planning and Research: regional climate networks: regional climate adaptation and resilience action plans.,2022-01-12,A,Re-referred to Com. on APPR.,2022-03-24,https://legiscan.com/CA/text/AB1640/id/2555623
1214363,CA,AB1071,Climate change: agriculture: Agricultural Climate Adaptation Tools Program: grants.,2019-02-21,A,In committee: Held under submission.,2020-08-20,https://legiscan.com/CA/text/AB1071/id/2203720
1385403,CA,SB45,Short-lived climate pollutants: organic waste reduction goals: local jurisdiction assistance.,2020-12-07,S,In Assembly. Read first time. Held at Desk.,2022-01-24,https://legiscan.com/CA/text/SB45/id/2463939
