bill_id,people_id
729552,10972
741593,10965
741593,14092
741593,14120
741593,14121
853586,14119
1454898,21717
1454898,14115
1454898,21723
1454898,18073
1454898,16286
1454898,16303
624699,1590
624699,14130
624699,1597
1343125,18077
1343125,19717
1347781,16304
1347781,19726
1083810,16285
1083810,1536
1083810,1556
1177488,14104
1177638,14098
1177638,16316
1215664,19728
1347599,14094
1347599,18064
1347599,14101
1347599,19721
1345757,16033
1131944,1498
1131944,11612
1131944,19727
1131944,16308
1131944,10969
1458935,19658
1132018,19719
1132018,14100
1132018,14107
1132018,18065
1132018,19722
1385447,1507
1385447,1561
1385447,18069
1385447,14116
1459051,21719
1459051,16296
1459051,18067
1459051,19487
1459051,19659
1459051,14113
1459051,21722
1459051,19723
1586997,22932
61988,1494
61988,1542
61988,1546
61988,1548
61988,1549
61988,1554
61988,1555
61988,1557
61988,1558
61988,1559
61988,1563
61988,1564
61988,1565
61988,1566
61988,1567
61988,1568
61988,1571
61988,1540
61988,1538
61988,1537
61988,1497
61988,1502
61988,1503
61988,1504
61988,1505
61988,1506
61988,1510
61988,1513
61988,1515
61988,1519
61988,1520
61988,1521
61988,1523
61988,1524
61988,1534
61988,1535
853402,16280
853402,19459
853402,16087
853402,16307
1385557,14096
1450079,16306
1450079,16295
1456977,21725
1076548,16301
1089208,16291
62143,1596
1295836,16282
1295836,14124
1295836,16283
1295836,18081
1203143,19718
1203143,14110
853179,10968
853179,10973
853179,1610
278856,1514
278856,1516
1018906,14118
1018906,16278
1018906,14093
1018906,14108
1018906,18079
1018906,14097
1018906,16284
1018906,16094
1018906,14103
1018906,16288
1018906,14106
1018906,18072
1018906,14109
1018906,16294
1018906,14112
1018906,14219
1018906,16297
1018906,18078
1018906,17428
1018906,14122
853476,14105
1199536,19716
1199536,19627
1199536,16299
1398172,19396
71616,1606
652406,11609
652406,1544
853263,10957
1347790,14125
892499,10959
514025,1532
251343,1509
251343,1573
251343,1591
251343,1592
251343,1602
251343,10961
251343,10977
510811,13078
1147491,1552
940173,16300
940173,1528
1592796,18082
1456999,16221
1458946,21724
1458946,21374
1458946,21726
1123982,18076
1123982,18074
1123982,16293
1090620,14117
71596,1545
71596,1570
71596,1529
71596,1501
71596,1500
71596,1496
71596,1508
71596,1526
71596,1493
1592579,19725
1588102,22654
377043,10963
377043,10960
377043,11920
63204,1605
1205509,14099
1205509,16287
1592818,22948
1295855,14134
840649,17671
840649,16309
62119,1595
661020,1495
625855,10971
625855,14091
625855,1543
625855,11921
824828,14095
824828,11610
782280,10970
782280,16048
782280,16281
782280,9547
782280,11611
782280,16289
782280,16292
782280,14111
782280,16317
782280,16298
782280,11232
782280,11616
782280,14123
832318,16279
557540,1527
284773,1578
1503854,22918
1503854,18066
1503854,18063
1503854,21718
1503854,19330
1503854,18071
1503854,21440
1503854,19720
1503854,21720
1503854,22851
1503854,21721
1503854,18080
1453519,19733
1456954,19724
1592513,16305
1060865,17701
514160,1609
581702,10958
581702,1511
581702,10966
581702,1531
581702,1533
581702,1550
581702,1579
581702,1582
581702,1525
581702,1588
581702,1541
581702,1608
739612,17429
403004,10975
284320,1589
787703,16302
787703,16290
787703,14114
620428,1604
273295,11615
61085,1612
356155,1576
1177599,16310
737507,11614
737507,17703
1238051,19341
265717,1601
405605,1499
1578058,21728
404397,1603
404397,1598
404397,1522
223291,10967
223291,11613
223291,1586
223291,1584
223291,1562
223291,1539
223291,1547
223291,1560
78436,1551
78436,1569
78436,1530
78436,1512
78436,1518
78436,1517
71314,1593
407080,1594
563469,10964
563469,14102
337892,1575
61661,1613
1086425,19340
1341593,19590
1605378,23099
279293,1607
1347832,19589
1607560,19298
967444,19301
