people_id,party,role,name
10972,D,Sen,Bob Wieckowski
10965,D,Rep,Richard Gordon
14092,D,Rep,Richard Bloom
14120,D,Rep,Anthony Rendon
14121,D,Rep,Mark Stone
14119,D,Rep,Bill Quirk
21717,D,Rep,Steve Bennett
14115,D,Rep,Kevin Mullin
21723,D,Rep,Chris Ward
18073,D,Rep,Marc Berman
16286,D,Rep,Eduardo Garcia
16303,D,Rep,Jim Wood
1590,D,Sen,Mark Leno
14130,D,Sen,Hannah-Beth Jackson
1597,D,Sen,Fran Pavley
18077,D,Rep,Laura Friedman
19717,D,Rep,Tasha Horvath
16304,D,Sen,Benjamin Allen
19726,D,Sen,Maria Durazo
16285,D,Sen,Bill Dodd
1536,D,Sen,Jerry Hill
1556,D,Sen,Anthony Portantino
14104,D,Rep,Cristina Garcia
14098,D,Rep,Ken Cooley
16316,R,Rep,Chad Mayes
19728,D,Sen,Tom Umberg
14094,D,Rep,Rob Bonta
18064,D,Rep,Eloise Reyes
14101,D,Rep,Susan Eggman
19721,D,Rep,Robert Rivas
16033,D,Rep,Lorena Gonzalez Fletcher
1498,D,Sen,Jim Beall
11612,D,Sen,Benjamin Hueso
19727,D,Sen,Melissa Hurtado
16308,D,Sen,Mike McGuire
10969,D,Sen,Holly Mitchell
19658,D,Rep,Jesse Gabriel
19719,D,Rep,Cottie Petrie-Norris
14100,D,Rep,Tom Daly
14107,D,Rep,Chris Holden
18065,D,Rep,Ash Kalra
19722,D,Rep,Christy Smith
1507,D,Sen,Anna Caballero
1561,D,Sen,Nancy Skinner
18069,R,Rep,Heath Flora
14116,D,Rep,Al Muratsuchi
21719,D,Rep,Alex Lee
16296,D,Rep,Kevin McCarty
18067,D,Rep,Cecilia Aguiar-Curry
19487,D,Rep,Wendy Carrillo
19659,D,Rep,Luz Rivas
14113,D,Rep,Jose Medina
21722,D,Rep,Carlos Villapudua
19723,D,Rep,Buffy Wicks
22932,D,Rep,Isaac Bryan
1494,D,Rep,Tom Ammiano
1542,D,Rep,Ted Lieu
1546,D,Rep,Tony Mendoza
1548,D,Rep,William Monning
1549,D,Rep,Pedro Nava
1554,D,Rep,John Perez
1555,D,Rep,Manuel Perez
1557,D,Rep,Ira Ruskin
1558,D,Rep,Mary Salas
1559,D,Rep,Lori Saldana
1563,D,Rep,Jose Solorio
1564,R,Rep,Audra Strickland
1565,D,Rep,Sandre Swanson
1566,D,Rep,Tom Torlakson
1567,D,Rep,Norma Torres
1568,D,Rep,Alberto Torrico
1571,D,Rep,Mariko Yamada
1540,D,Rep,Dave Jones
1538,D,Rep,Jared Huffman
1537,D,Rep,Alyson Huber
1497,D,Rep,Karen Bass
1502,D,Rep,Marty Block
1503,D,Rep,Robert Blumenfield
1504,D,Rep,Steven Bradford
1505,D,Rep,Julia Brownley
1506,D,Rep,Joan Buchanan
1510,D,Rep,Wesley Chesbro
1513,D,Rep,Joe Coto
1515,D,Rep,Hector De La Torre
1519,D,Rep,Mike Eng
1520,D,Rep,Noreen Evans
1521,D,Rep,Mike Feuer
1523,D,Rep,Paul Fong
1524,D,Rep,Felipe Fuentes
1534,D,Rep,Mary Hayashi
1535,D,Rep,Edward Hernandez
16280,D,Rep,Autumn Burke
19459,D,Rep,Joaquin Arambula
16087,D,Rep,Freddie Rodriguez
16307,D,Sen,Connie Leyva
14096,D,Rep,Edwin Chau
16306,D,Sen,Bob Hertzberg
16295,R,Rep,Devon Mathis
21725,D,Sen,Dave Cortese
16301,D,Rep,Tony Thurmond
16291,D,Rep,Jacqui Irwin
1596,D,Sen,Alex Padilla
16282,D,Rep,David Chiu
14124,D,Rep,Shirley Weber
16283,D,Rep,Kansen Chu
18081,D,Rep,Todd Gloria
19718,R,Rep,Tyler Diep
14110,D,Rep,Marc Levine
10968,D,Sen,Ricardo Lara
10973,D,Rep,Das Williams
1610,D,Sen,Loni Hancock
1514,D,Rep,Mike Davis
1516,D,Sen,Kevin de Leon
14118,D,Rep,Sharon Quirk-Silva
16278,R,Rep,Catharine Baker
14093,D,Rep,Raul Bocanegra
14108,D,Rep,Ian Calderon
18079,D,Rep,Sabrina Cervantes
14097,R,Rep,Rocky Chavez
16284,D,Rep,Jim Cooper
16094,D,Rep,Matt Dababneh
14103,D,Rep,Jim Frazier
16288,D,Rep,Mike Gipson
14106,D,Rep,Adam Gray
18072,D,Rep,Tim Grayson
14109,D,Rep,Reginald Jones-Sawyer
16294,D,Rep,Evan Low
14112,R,Rep,Brian Maienschein
14219,D,Rep,Adrin Nazarian
16297,D,Rep,Patrick O'Donnell
18078,D,Rep,Blanca Rubio
17428,D,Rep,Rudy Salas
