roll_call_id,yea,nay,absent,nv,passed,chamber,desc,date,bill_id
440879,6,0,0,1,1,S,"Do pass as amended, and re-refer to the Committee on Appropriations",2015-04-29,729552
454089,5,2,0,0,1,S,Do pass as amended,2015-05-28,729552
456658,26,11,0,3,1,S,Senate 3rd Reading SB246 Wieckowski,2015-06-03,729552
463631,7,0,0,0,1,S,Placed on Appropriations Suspense file,2015-05-18,729552
466150,8,1,0,0,1,A,Do pass and be re-referred to the Committee on Appropriations,2015-07-13,729552
474384,12,5,0,0,1,A,Do pass as amended,2015-08-27,729552
475848,53,27,0,0,1,A,SB 246 Wieckowski  Senate Third Reading  By GORDON  Amend By GORDON 	Set #1,2015-09-04,729552
475913,56,23,1,0,1,A,SB 246 Wieckowski  Senate Third Reading  By GORDON,2015-09-08,729552
476234,25,13,0,2,1,S,Unfinished Business SB246 Wieckowski Concurrence,2015-09-10,729552
440180,8,1,0,0,1,A,Do pass as amended and be re-referred to the Committee on 	Appropriations,2015-04-27,741593
454053,12,4,1,0,1,A,Do pass,2015-05-28,741593
456090,63,12,5,0,1,A,AB 1482 GORDON  Assembly Third Reading,2015-06-02,741593
462189,7,2,0,0,1,S,"Do pass, but re-refer to the Committee on Environmental Quality",2015-06-23,741593
473776,7,0,0,0,1,S,Placed on Appropriations Suspense file,2015-08-17,741593
474705,5,2,0,0,1,S,Do pass as amended,2015-08-27,741593
476035,27,13,0,0,1,S,Assembly 3rd Reading AB1482 Gordon By Wieckowski,2015-09-08,741593
476188,65,14,1,0,1,A,AB 1482 GORDON  Concurrence in Senate Amendments,2015-09-09,741593
535521,7,2,0,0,1,A,Do pass and be re-referred to the Committee on Appropriations,2016-04-18,853586
549142,14,6,0,0,1,A,Do pass,2016-05-27,853586
550481,59,19,2,0,1,A,AB 2800 QUIRK  Assembly Third Reading,2016-06-01,853586
552771,7,2,0,0,1,S,"Do pass as amended, and re-refer to the Committee on Environmental 	Quality",2016-06-14,853586
556576,6,1,0,0,1,S,"Do pass as amended, and re-refer to the Committee on Appropriations",2016-06-29,853586
