bill_id,state,bill_number,title,date of introduction,chamber of origin,final status,date of final,text
542947,CO,HB1293,Gov To Create Exec Branch Climate Change Position,2013-04-05,H,Governor Action - Signed,2013-05-28,https://legiscan.com/CO/text/HB1293/id/843635
1106944,CO,HB1297,Climate Change Preparedness And Resiliency,2018-03-16,H,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",2018-05-01,https://legiscan.com/CO/text/HB1297/id/1786443
813445,CO,HB1004,Measurable Goals Deadlines CO Climate Action Plan,2016-01-13,H,"Senate Committee on Agriculture, Natural Resources, & Energy Postpone Indefinitely",2016-03-30,https://legiscan.com/CO/text/HB1004/id/1329740
1615539,CO,SB206,Disaster Preparedness And Recovery Resources,2022-04-14,S,Signed by the Speaker of the House,2022-05-17,https://legiscan.com/CO/text/SB206/id/2584784
1009367,CO,HB1366,Measurable Goals Deadlines Colorado Climate Action Plan,2017-04-27,H,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",2017-05-08,https://legiscan.com/CO/text/HB1366/id/1611595
1487920,CO,HB1242,Create Agricultural Drought And Climate Resilience Office,2021-03-24,H,Governor Signed,2021-06-24,https://legiscan.com/CO/text/HB1242/id/2416329
1137955,CO,HB1015,Recreation Of The Colorado Water Institute,2019-01-04,H,Governor Signed,2019-02-20,https://legiscan.com/CO/text/HB1015/id/1906110
1243117,CO,HB1261,Climate Action Plan To Reduce Pollution,2019-03-21,H,Governor Signed,2019-05-30,https://legiscan.com/CO/text/HB1261/id/2017317
1592319,CO,SB138,Reduce Greenhouse Gas Emissions In Colorado,2022-02-16,S,House Second Reading Special Order - Laid Over Daily - No Amendments,2022-05-09,https://legiscan.com/CO/text/SB138/id/2573643
1110557,CO,SB226,Prohibit Colorado Involvement Climate Alliance,2018-04-02,S,House Committee on Transportation & Energy Postpone Indefinitely,2018-05-02,https://legiscan.com/CO/text/SB226/id/1787190
1491776,CO,SB237,Create Forest Health Council In Department Of Natural Resources,2021-04-06,S,Governor Signed,2021-06-22,https://legiscan.com/CO/text/SB237/id/2414956
1502629,CO,HB1286,Energy Performance For Buildings,2021-04-21,H,Governor Signed,2021-06-24,https://legiscan.com/CO/text/HB1286/id/2418201
1614886,CO,SB199,Native Pollinating Insects Protection Study,2022-04-08,S,Sent to the Governor,2022-05-18,https://legiscan.com/CO/text/SB199/id/2585518
873245,CO,HB1441,PUC Consider Full Cost Carbon For Elec Generation,2016-04-15,H,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",2016-05-05,https://legiscan.com/CO/text/HB1441/id/1400514
1210788,CO,HB1188,Greenhouse Gas Pollution Impact In Fiscal Notes,2019-02-19,H,Governor Signed,2019-05-29,https://legiscan.com/CO/text/HB1188/id/2031147
1491819,CO,SB234,General Fund Transfer Agriculture And Drought Resiliency,2021-04-06,S,Governor Signed,2021-06-15,https://legiscan.com/CO/text/SB234/id/2415324
1506752,CO,HB1303,Global Warming Potential For Public Project Materials,2021-05-05,H,Governor Signed,2021-07-06,https://legiscan.com/CO/text/HB1303/id/2418486
1137825,CO,HB1002,Leadership Professional Development For School Principals,2019-01-04,H,Governor Signed,2019-05-31,https://legiscan.com/CO/text/HB1002/id/2020940
1492073,CO,HB1266,Environmental Justice Disproportionate Impacted Community,2021-04-06,H,Governor Signed,2021-07-02,https://legiscan.com/CO/text/HB1266/id/2419491
1493141,CO,HB1269,Public Utilities Commission Study Of Community Choice Energy,2021-04-09,H,Governor Signed,2021-06-25,https://legiscan.com/CO/text/HB1269/id/2419349
1610817,CO,HB1323,Updates To State Forest Service Tree Nursery,2022-03-24,H,Senate Third Reading Passed - No Amendments,2022-05-09,https://legiscan.com/CO/text/HB1323/id/2581998
1493142,CO,HB1268,Study Emerging Technologies For Water Management,2021-04-09,H,Governor Signed,2021-06-18,https://legiscan.com/CO/text/HB1268/id/2417028
1062343,CO,HB1080,Climate Leadership Awards Program,2018-01-17,H,House Committee on Transportation & Energy Postpone Indefinitely,2018-02-07,https://legiscan.com/CO/text/HB1080/id/1690643
1102620,CO,HB1274,Reduce Greenhouse Gas Emissions by 2050,2018-03-07,H,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",2018-04-11,https://legiscan.com/CO/text/HB1274/id/1773607
1170449,CO,SB096,Collect Long-term Climate Change Data,2019-01-23,S,Governor Signed,2019-05-30,https://legiscan.com/CO/text/SB096/id/2020966
1509397,CO,SB272,Measures To Modernize The Public Utilities Commission,2021-05-14,S,Governor Signed,2021-06-10,https://legiscan.com/CO/text/SB272/id/2413811
1111862,CO,HB1367,Leadership Professional Development For School Principals,2018-04-09,H,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",2018-05-02,https://legiscan.com/CO/text/HB1367/id/1787019
1474845,CO,HB1208,Natural Disaster Mitigation Enterprise,2021-03-05,H,Governor Signed,2021-07-06,https://legiscan.com/CO/text/HB1208/id/2417049
1489458,CO,SB200,Reduce Greenhouse Gases Increase Environmental Justice,2021-03-29,S,Senate Second Reading Laid Over to 12/09/2021 - No Amendments,2021-06-07,https://legiscan.com/CO/text/SB200/id/2350531
1299504,CO,HB1072,Study Emerging Technologies For Water Management,2020-01-08,H,Senate Committee on Agriculture & Natural Resources Postpone Indefinitely,2020-05-27,https://legiscan.com/CO/text/HB1072/id/2168984
1244108,CO,HB1270,PERA Public Employees' Retirement Association Board Assess Climate-related Financial Risks,2019-03-25,H,House Committee on Finance Postpone Indefinitely,2019-04-08,https://legiscan.com/CO/text/HB1270/id/1971454
223373,CO,HB1031,Creative Districts,2011-01-12,,Governor Action - Signed,2011-03-22,https://legiscan.com/CO/text/HB1031/id/215489
465010,CO,SB074,Irrigation Water Right Historical Use Acreage,2013-01-22,S,Governor Action - Signed,2013-04-04,https://legiscan.com/CO/text/SB074/id/794376
869027,CO,SB174,CO Water Conservation Bd Construction Fund Project,2016-03-28,S,Governor Signed,2016-05-16,https://legiscan.com/CO/text/SB174/id/1409007
1472750,CO,HB1149,Energy Sector Career Pathway In Higher Education,2021-03-03,H,Governor Signed,2021-06-16,https://legiscan.com/CO/text/HB1149/id/2413978
1488476,CO,HB1246,PERA Public Employees' Retirement Association Divestment From Fossil Fuel Companies,2021-03-25,H,House Committee on Finance Postpone Indefinitely,2021-04-19,https://legiscan.com/CO/text/HB1246/id/2348158
1137850,CO,HB1017,Kindergarten Through Fifth Grade Social And Emotional Health Act,2019-01-04,H,Governor Signed,2019-05-10,https://legiscan.com/CO/text/HB1017/id/2028430
1474108,CO,HB1180,Measures To Increase Biomass Utilization,2021-03-04,H,Governor Signed,2021-07-07,https://legiscan.com/CO/text/HB1180/id/2418197
1486834,CO,HB1238,Public Utilities Commission Modernize Gas Utility Demand-side Management Standards,2021-03-22,H,Governor Signed,2021-06-24,https://legiscan.com/CO/text/HB1238/id/2416649
1491963,CO,HB1260,General Fund Transfer Implement State Water Plan,2021-04-06,H,Governor Signed,2021-06-24,https://legiscan.com/CO/text/HB1260/id/2415462
705691,CO,HB1166,South Platte Alluvial Aquifer Monitoring Network,2015-01-29,H,Governor Signed,2015-06-05,https://legiscan.com/CO/text/HB1166/id/1214948
814654,CO,SB003,Broadcast Burns Wildfire Risk Reduction Funding,2016-01-13,S,Governor Signed,2016-06-06,https://legiscan.com/CO/text/SB003/id/1416074
1329132,CO,SB159,Global Warming Potential For Public Project Materials,2020-02-04,S,Senate Second Reading Laid Over to 12/31/2020 - No Amendments,2020-05-28,https://legiscan.com/CO/text/SB159/id/2121336
606082,CO,SB124,School Turnaround Leaders Development Program,2014-01-27,S,Governor Signed,2014-06-05,https://legiscan.com/CO/text/SB124/id/1020490
1137765,CO,SB010,Professional Behavioral Health Services For Schools,2019-01-04,S,Governor Signed,2019-05-10,https://legiscan.com/CO/text/SB010/id/2015271
763988,CO,SB253,CO Water Conservation Bd Construction Fund Project,2015-03-27,S,Governor Signed,2015-05-14,https://legiscan.com/CO/text/SB253/id/1225323
356977,CO,SB005,Ofc Econ Dev Business Retention & Expansion Prog,2012-01-11,,House Committee on Appropriations Refer Unamended to House Committee of the Whole,2012-05-04,https://legiscan.com/CO/text/SB005/id/632419
1249840,CO,HB1314,Just Transition From Coal-based Electrical Energy Economy,2019-04-05,H,Governor Signed,2019-05-28,https://legiscan.com/CO/text/HB1314/id/2023226
1474127,CO,HB1181,Agricultural Soil Health Program,2021-03-04,H,Governor Signed,2021-06-21,https://legiscan.com/CO/text/HB1181/id/2418194
1583562,CO,HB1151,Turf Replacement Program,2022-02-04,H,House Considered Senate Amendments - Result was to Concur - Repass,2022-05-10,https://legiscan.com/CO/text/HB1151/id/2587791
765619,CO,HB1330,Social Cost Of Carbon In Certain Fiscal Notes,2015-04-01,H,House Committee on Legislative Council Postpone Indefinitely,2015-04-24,https://legiscan.com/CO/text/HB1330/id/1191266
1299590,CO,HB1064,Public Utilities Commission Study Of Community Choice Energy,2020-01-08,H,House Committee on Appropriations Lay Over Unamended - Amendment(s) Failed,2020-06-16,https://legiscan.com/CO/text/HB1064/id/2088108
1299651,CO,HB1047,Develop A Statewide Organics Management Plan,2020-01-08,H,Senate Committee on Appropriations Postpone Indefinitely,2020-06-13,https://legiscan.com/CO/text/HB1047/id/2156590
1506663,CO,SB264,Adopt Programs Reduce Greenhouse Gas Emissions Utilities,2021-05-05,S,Governor Signed,2021-06-24,https://legiscan.com/CO/text/SB264/id/2415931
1453005,CO,HB1019,Modification To Regulations Of Factory-built Structures,2021-02-16,H,Governor Signed,2021-05-10,https://legiscan.com/CO/text/HB1019/id/2386310
1081397,CO,HB1197,Student-centered Pilot Accountability Systems,2018-02-05,H,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",2018-05-02,https://legiscan.com/CO/text/HB1197/id/1788848
501580,CO,SB181,Water Conservation Bd Construction Fund Projects,2013-02-15,S,Governor Action - Signed,2013-05-13,https://legiscan.com/CO/text/SB181/id/834617
1234353,CO,SB188,FAMLI Family Medical Leave Insurance Program,2019-03-07,S,Governor Signed,2019-05-30,https://legiscan.com/CO/text/SB188/id/2019712
1001238,CO,HB1307,Family And Medical Leave Insurance Program Wage Replacement,2017-03-29,H,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",2017-05-03,https://legiscan.com/CO/text/HB1307/id/1605126
1456290,CO,SB108,Public Utilities Commission Gas Utility Safety Inspection Authority,2021-02-18,S,Governor Signed,2021-07-06,https://legiscan.com/CO/text/SB108/id/2415095
1506196,CO,SB260,Sustainability Of The Transportation System,2021-05-04,S,Governor Signed,2021-06-17,https://legiscan.com/CO/text/SB260/id/2412916
1053077,CO,HB1001,FAMLI Family Medical Leave Insurance Program,2018-01-10,H,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",2018-04-30,https://legiscan.com/CO/text/HB1001/id/1781865
1616148,CO,HB1390,Public School Finance,2022-04-19,H,Sent to the Governor,2022-05-20,https://legiscan.com/CO/text/HB1390/id/2586117
1612630,CO,SB193,Air Quality Improvement Investments,2022-03-30,S,Sent to the Governor,2022-05-18,https://legiscan.com/CO/text/SB193/id/2585922
645700,CO,HB1387,Revision Of All Capital Related Statutes,2014-04-21,H,Governor Signed,2014-06-06,https://legiscan.com/CO/text/HB1387/id/1024702
1249843,CO,HB1313,Electric Utility Plans To Further Reduce Carbon Dioxide Emissions,2019-04-05,H,Senate Committee on Appropriations Refer Amended to Senate Committee of the Whole,2019-05-02,https://legiscan.com/CO/text/HB1313/id/2004323
