people_id,party,role,name
14280,D,Rep,Paul Rosenthal
3317,D,Sen,Stratton Heath
16581,D,Sen,Faith Winter
14279,D,Rep,Brittany Pettersen
16569,D,Sen,Kerry Donovan
3251,D,Sen,John Kefalas
18729,D,Sen,Stephen Fenberg
22219,D,Rep,Judith Amabile
19048,D,Rep,Jeff Bridges
18719,D,Rep,Janet Buckner
16583,D,Rep,Jessie Danielson
11607,D,Rep,Rhonda Fields
14268,D,Rep,Joann Ginal
20029,D,Sen,Julie Gonzales
19205,D,Rep,Chris Hansen
23104,D,Sen,Nick Hinrichsen
20027,D,Rep,Sonya Jaquez Lewis
22458,D,Sen,Chris Kolker
10780,D,Rep,Pete Lee
14277,D,Rep,Dominick Moreno
20032,D,Sen,Tammy Story
16096,D,Sen,Rachel Zenzinger
22220,D,Rep,Jennifer Bacon
18710,D,Rep,Adrienne Benavidez
22221,D,Rep,Tracey Bernett
20127,D,Rep,Shannon Bird
22921,D,Rep,Andrew Boesenecker
20130,D,Rep,Yadira Caraveo
20131,D,Rep,Lisa Cutter
22223,D,Rep,Lindsey Daugherty
15133,D,Rep,Thomas Exum
20739,D,Rep,Meg Froelich
20134,D,Rep,Serena Gonzales-Gutierrez
18722,D,Rep,Matt Gray
18721,D,Rep,Leslie Herod
19209,D,Rep,Edith Hooton
22225,D,Rep,Iman Jodeh
20159,D,Rep,Cathy Kipp
23046,D,Rep,Mandy Lindsay
16573,D,Rep,Susan Lontine
20025,D,Rep,Julie McCluskie
22228,D,Rep,Karen McCormick
18711,D,Rep,Barbara McLachlan
18713,D,Rep,Dafna Michaelson Jenet
22229,D,Rep,David Ortiz
22231,D,Rep,Naquetta Ricks
19512,D,Rep,Dylan Roberts
20024,D,Rep,Emily Sirota
20138,D,Rep,Marc Snyder
20142,D,Rep,Brianna Titone
20143,D,Rep,Alex Valdez
18716,D,Rep,Donald Valdez
16567,D,Rep,Jennifer Arndt
20148,D,Rep,Monica Duran
16570,D,Rep,Daneya Esgar
18715,D,Rep,Dominique Jackson
20136,D,Rep,Kyle Mullica
21549,D,Rep,Steven Woodrow
21455,D,Rep,Mary Young
14266,D,Rep,Leroy Garcia
3323,R,Rep,Kevin Priola
16511,D,Rep,KC Becker
10781,D,Sen,Angela Williams
3348,R,Sen,Kevin Lundberg
16513,R,Sen,John Cooke
16579,R,Rep,Yeulin Willett
22227,R,Rep,Michael Lynch
10773,R,Rep,Donald Coram
15135,R,Sen,Robert Rankin
22457,R,Sen,Cleave Simpson
20026,R,Rep,Rod Pelton
21293,R,Rep,Perry Will
18712,D,Rep,Chris Kennedy
20140,D,Rep,Tom Sullivan
3249,D,Rep,Max Tyler
10776,D,Sen,Matt Jones
14265,D,Sen,Mike Foote
3343,R,Sen,Jerry Sonnenberg
21496,R,Rep,Richard Holtorf
18726,R,Sen,Bob Gardner
20028,R,Sen,Dennis Hisey
22456,R,Sen,Barbara Kirkmeyer
3329,R,Sen,Larry Liston
10778,R,Sen,Ray Scott
20128,R,Rep,Rod Bockenfeld
22230,R,Rep,Andres Pico
20139,R,Rep,Matt Soper
18723,D,Rep,Michael Weissman
10783,R,Rep,James Wilson
16582,D,Rep,Alec Garnett
20141,D,Rep,Kerry Tipper
16568,R,Rep,Terri Carver
19200,R,Rep,Marc Catlin
10788,R,Rep,Chris Holbert
16509,R,Rep,Paul Lundeen
20030,R,Sen,Rob Woodward
20133,R,Rep,Tim Geitner
3296,D,Sen,Andy Kerr
14281,R,Rep,Lori Saine
3256,D,Sen,Joyce Foster
3262,D,Rep,Joe Miklosi
3263,D,Sen,Mary Hodge
3314,D,Rep,Edward Vigil
22226,R,Rep,Stephanie Luck
18718,R,Rep,Hugh McKean
16575,R,Rep,Patrick Neville
20137,R,Rep,Janice Rich
19536,R,Rep,Shane Sandridge
22232,R,Rep,Tonya Van Beber
22233,R,Rep,Dan Woog
14293,R,Sen,Vicki Marble
3285,R,Sen,Ellen Roberts
3255,R,Rep,Thomas Massey
3286,D,Sen,Linda Newell
13710,D,Rep,David Young
3250,D,Sen,Gail Schwartz
3339,D,Rep,Randolph Fischer
18939,D,Rep,James Coleman
11608,R,Rep,Libby Szabo
