roll_call_id,yea,nay,absent,nv,passed,chamber,desc,date,bill_id
265312,7,6,0,0,1,H,"FINAL VOTE - Refer House Bill 13-1293, as amended, to the Committee of the Whole",2013-04-15,542947
267005,0,0,0,13,0,H,"FINAL VOTE - Amend printed bill on page 3, line 10, strike ""committee"" and substitute ""committee, the house transportation and energy committee,""",2013-04-15,542947
267006,0,0,0,13,0,H,FINAL VOTE - Adopt amendment L.001 (Attachment B),2013-04-15,542947
275910,3,2,0,0,1,S,FINAL VOTE - Refer House Bill 13-1293 to the Committee of the Whole,2013-04-30,542947
294491,0,0,0,13,0,H,"FINAL VOTE - Amend printed bill on page 3, line 10, strike ""committee"" and substitute ""committee, the house transportation and energy committee,""",2013-04-15,542947
294492,7,6,0,0,1,H,"FINAL VOTE - Refer House Bill 13-1293, as amended, to the Committee of the Whole",2013-04-15,542947
294493,0,0,0,13,0,H,FINAL VOTE - Adopt amendment L.001 (Attachment B),2013-04-15,542947
294494,3,2,0,0,1,S,FINAL VOTE - Refer House Bill 13-1293 to the Committee of the Whole,2013-04-30,542947
726248,8,5,0,0,1,H,House Transportation & Energy: Refer House Bill 18-1297 to the Committee on Appropriations.,2018-03-21,1106944
741288,0,0,0,13,0,H,House Appropriations: Adopt amendment J.001,2018-04-19,1106944
741289,8,5,0,0,1,H,"House Appropriations: Refer House Bill 18-1297, as amended, to the Committee of the Whole.",2018-04-19,1106944
742791,36,29,0,0,1,H,House: Third Reading Bill,2018-04-24,1106944
746479,3,2,0,0,1,S,"Senate State, Veterans, & Military Affairs: Postpone House Bill 18-1297 indefinitely.",2018-05-01,1106944
491441,7,6,0,0,1,H,"FINAL VOTE - Refer House Bill 16-1004, as amended, to the Committee of the Whole",2016-02-04,813445
492290,7,6,0,0,1,H,"FINAL VOTE - Refer House Bill 16-1004, as amended, to the Committee of the Whole",2016-02-04,813445
493400,34,31,0,0,1,H,House: Third Reading,2016-02-09,813445
495974,7,6,0,0,1,H,FINAL VOTE - Adopt amendment L.001 (Attachment J),2016-02-04,813445
525811,0,0,0,9,0,S,FINAL VOTE - Adopt amendment L.010 The motion passed without objection.,2016-03-30,813445
525812,4,5,0,0,0,S,"FINAL VOTE - Refer House Bill 16-1004, as amended, to the Committee on Appropriations",2016-03-30,813445
525813,0,0,0,9,0,S,"FINAL VOTE - Postpone House Bill 16-1004 indefinitely using a reversal of the previous roll call. There was no objection to the use of the reverse roll call, therefore, the bill was postponed indefinitely",2016-03-30,813445
1193171,4,1,0,0,1,S,"Senate State, Veterans, & Military Affairs: Refer Senate Bill 22-206, as amended, to the Committee on Appropriations.",2022-04-26,1615539
1198046,7,0,0,0,1,S,Senate Appropriations: Adopt amendment J.001,2022-05-02,1615539
1198047,5,2,0,0,1,S,"Senate Appropriations: Refer Senate Bill 22-206, as amended, to the Committee of the Whole.",2022-05-02,1615539
1199044,5,0,0,0,1,S,"Senate State, Veterans, & Military Affairs: Adopt amendment L.002 (Attachment F).",2022-04-26,1615539
1199045,5,0,0,0,1,S,"Senate State, Veterans, & Military Affairs: Adopt amendment L.003 (Attachment G).",2022-04-26,1615539
1199046,0,0,0,5,0,S,"Senate State, Veterans, & Military Affairs: Adopt amendment L.004",2022-04-26,1615539
1199047,5,0,0,0,1,S,"Senate State, Veterans, & Military Affairs: Adopt amendment L.005 (Attachment H).",2022-04-26,1615539
1199048,5,0,0,0,1,S,"Senate State, Veterans, & Military Affairs: Adopt amendment L.006 (Attachment I), as amended.",2022-04-26,1615539
1199049,5,0,0,0,1,S,"Senate State, Veterans, & Military Affairs: Adopt amendment L.007 (Attachment J).",2022-04-26,1615539
1199050,5,0,0,0,1,S,"Senate State, Veterans, & Military Affairs: Adopt amendment L.008 (Attachment K).",2022-04-26,1615539
1199051,5,0,0,0,1,S,"Senate State, Veterans, & Military Affairs: Adopt amendment L.009 (Attachment L).",2022-04-26,1615539
1199052,5,0,0,0,1,S,"Senate State, Veterans, & Military Affairs: Adopt amendment L.010 (Attachment M) to L.006.",2022-04-26,1615539
1199053,4,1,0,0,1,S,"Senate State, Veterans, & Military Affairs: Refer Senate Bill 22-206, as amended, to the Committee on Appropriations.",2022-04-26,1615539
1199054,21,14,0,0,1,S,Senate: Third Reading Bill,2022-05-03,1615539
1199667,7,3,1,0,1,H,"House State, Civic, Military, & Veterans Affairs: Refer Senate Bill 22-206, as amended, to the Committee on Appropriations.",2022-05-04,1615539
1201237,7,4,0,0,1,H,"House Appropriations: Refer Senate Bill 22-206, as amended, to the Committee of the Whole.",2022-05-09,1615539
1201738,11,0,0,0,1,H,House Appropriations: Adopt amendment L.022,2022-05-09,1615539
1201739,7,4,0,0,1,H,"House Appropriations: Refer Senate Bill 22-206, as amended, to the Committee of the Whole.",2022-05-09,1615539
1203324,39,24,2,0,1,H,House: Third Reading Bill,2022-05-11,1615539
1203325,35,0,0,0,1,S,Senate: House Amendments Concur,2022-05-11,1615539
1203326,21,14,0,0,1,S,Senate: House Amendments Repass,2022-05-11,1615539
1207163,11,0,0,0,1,H,"House State, Civic, Military, & Veterans Affairs: Adopt amendment L.014 (Attachment E).",2022-05-04,1615539
1207164,11,0,0,0,1,H,"House State, Civic, Military, & Veterans Affairs: Adopt amendment L.015 (Attachment F).",2022-05-04,1615539
