bill_id,state,bill_number,title,date of introduction,chamber of origin,final status,date of final,text
1237138,CT,SB01062,An Act Authorizing Municipal Climate Change And Coastal Resiliency Reserve Funds.,2019-03-12,S,Signed by the Governor,2019-07-01,https://legiscan.com/CT/text/SB01062/id/2040878
1597816,CT,HB05285,An Act Concerning The Public School Curriculum.,2022-02-28,H,File Number 569,2022-04-21,https://legiscan.com/CT/text/HB05285/id/2572912
1083498,CT,SB00007,An Act Concerning Climate Change Planning And Resiliency.,2018-02-08,S,Signed by the Governor,2018-06-06,https://legiscan.com/CT/text/SB00007/id/1798787
1478425,CT,SB01047,An Act Concerning Insurance And Climate Change.,2021-03-11,S,"Favorable Report, Tabled for the Calendar, Senate",2021-05-05,https://legiscan.com/CT/text/SB01047/id/2389920
858555,CT,HB05579,An Act Concerning The Governor's Council On Climate Change.,2016-03-03,H,File Number 419,2016-04-04,https://legiscan.com/CT/text/HB05579/id/1382259
1344228,CT,HB05215,An Act Concerning The Inclusion Of Climate Change Instruction In The Public School Curriculum.,2020-02-20,H,Public Hearing 03/06,2020-02-28,https://legiscan.com/CT/text/HB05215/id/2142471
1098757,CT,SB00345,An Act Concerning Climate Change Education In Connecticut Schools.,2018-03-01,S,House Calendar Number 563,2018-05-07,https://legiscan.com/CT/text/SB00345/id/1775390
1223478,CT,SB00979,An Act Establishing A Task Force To Study The Impact Of Climate Change On This State And Insurance In This State.,2019-02-28,S,File Number 329,2019-04-02,https://legiscan.com/CT/text/SB00979/id/1980102
1466039,CT,SB00971,An Act Concerning The State Treasurer And Climate Change And Coastal Resiliency Reserve Funds.,2021-02-26,S,House Calendar Number 585,2021-06-03,https://legiscan.com/CT/text/SB00971/id/2377873
1592357,CT,SB00119,An Act Concerning Climate Resiliency Funds And Projects.,2022-02-17,S,House Calendar Number 421,2022-04-21,https://legiscan.com/CT/text/SB00119/id/2554430
1098576,CT,SB00343,An Act Concerning The Effects Of Climate Change On The Safety Plans Of Certain Chemical Facilities In The State.,2018-03-01,S,House Calendar Number 562,2018-05-07,https://legiscan.com/CT/text/SB00343/id/1775343
1446295,CT,HB06441,An Act Concerning Climate Change Adaptation.,2021-02-11,H,Signed by the Governor,2021-07-06,https://legiscan.com/CT/text/HB06441/id/2419352
1434548,CT,HB06374,An Act Concerning Sexual Misconduct On College Campuses.,2021-02-03,H,Signed by the Governor,2021-06-28,https://legiscan.com/CT/text/HB06374/id/2417541
1351451,CT,SB00354,An Act Establishing A Green New Deal For Connecticut.,2020-02-27,S,Public Hearing 03/03,2020-02-28,https://legiscan.com/CT/text/SB00354/id/2153034
1597829,CT,HB05282,An Act Concerning The Inclusion Of Asian American And Pacific Islander Studies In The Public School Curriculum.,2022-02-28,H,File Number 632,2022-04-26,https://legiscan.com/CT/text/HB05282/id/2574853
1193850,CT,HB07082,An Act Concerning The Inclusion Of Black And Latino Studies In The Public School Curriculum.,2019-02-07,H,Signed by the Governor,2019-06-21,https://legiscan.com/CT/text/HB07082/id/2033473
1351292,CT,SB00314,An Act Concerning The Inclusion Of Native American Studies In The Social Studies Curriculum.,2020-02-27,S,Public Hearing 03/06,2020-02-28,https://legiscan.com/CT/text/SB00314/id/2152869
1351141,CT,SB00345,An Act Requiring The Insurance Commissioner To Study And Report On Issues Concerning Climate Change.,2020-02-27,S,Public Hearing 03/05,2020-03-02,https://legiscan.com/CT/text/SB00345/id/2152716
857683,CT,HB05540,An Act Concerning The State Water Plan.,2016-03-02,H,Signed by the Governor,2016-06-09,https://legiscan.com/CT/text/HB05540/id/1409435
1331448,CT,SB00019,An Act Concerning Sexual Misconduct On College Campuses.,2020-02-06,S,Filed with Legislative Commissioners' Office,2020-03-11,https://legiscan.com/CT/text/SB00019/id/2124014
1193499,CT,HB07083,An Act Concerning The Inclusion Of Climate Change Instruction In The Science Component Of The Public School Curriculum.,2019-02-07,H,File Number 1014,2019-05-30,https://legiscan.com/CT/text/HB07083/id/2017791
1213951,CT,HB07215,An Act Concerning School Climates.,2019-02-22,H,Signed by the Governor,2019-07-08,https://legiscan.com/CT/text/HB07215/id/2043201
1446160,CT,SB00884,An Act Reducing Transportation-related Carbon Emissions.,2021-02-11,S,File Number 533,2021-04-20,https://legiscan.com/CT/text/SB00884/id/2376994
640160,CT,HB05593,An Act Concerning Domestic Violence And Sexual Assault.,2014-03-24,H,Signed by the Governor,2014-06-13,https://legiscan.com/CT/text/HB05593/id/1027425
1202757,CT,SB00853,An Act Concerning The Availability Of The Real Estate Licensing Curriculum For Use In Public Schools.,2019-02-14,S,House Calendar Number 660,2019-05-24,https://legiscan.com/CT/text/SB00853/id/1964336
1472619,CT,SB00999,An Act Concerning A Just Transition To Climate-protective Energy Production And Community Investment.,2021-03-04,S,Signed by the Governor,2021-06-14,https://legiscan.com/CT/text/SB00999/id/2412894
1141950,CT,HB05011,An Act Concerning The Teaching Of Climate Change In Public Schools.,2019-01-09,H,Referred to Joint Committee on Education,2019-01-09,https://legiscan.com/CT/text/HB05011/id/1839750
1397628,CT,HB05030,An Act Requiring The Tracking Of Climate Change-related Emissions From Foods Consumed By Residents Of The State.,2021-01-11,H,Referred to Joint Committee on Environment,2021-01-11,https://legiscan.com/CT/text/HB05030/id/2231799
1416219,CT,HB05235,An Act Concerning Revisions To The Next Generation Science Standards And The Climate Change Curriculum Taught To Students.,2021-01-22,H,Referred to Joint Committee on Education,2021-01-22,https://legiscan.com/CT/text/HB05235/id/2251828
1423607,CT,HB05628,An Act Requiring Fifty-year Projections For Climate Change Legislation And Cost Assessments For Residents.,2021-01-27,H,Referred to Joint Committee on Environment,2021-01-27,https://legiscan.com/CT/text/HB05628/id/2259336
1423791,CT,HB05619,An Act Concerning The Teaching Of Climate Change Instruction In Public Schools.,2021-01-27,H,Referred to Joint Committee on Education,2021-01-27,https://legiscan.com/CT/text/HB05619/id/2259510
1428856,CT,SB00776,An Act Concerning The State Treasurer And Climate Change And Coastal Resiliency Reserve Funds.,2021-01-29,S,Referred to Joint Committee on Planning and Development,2021-01-29,https://legiscan.com/CT/text/SB00776/id/2265060
1468127,CT,HB06551,An Act Concerning Environmental Air Quality.,2021-03-01,H,File Number 529,2021-04-20,https://legiscan.com/CT/text/HB06551/id/2376271
518948,CT,SB01013,An Act Concerning Climate Change Adaptation And Data Collection.,2013-02-28,S,Signed by the Governor,2013-06-06,https://legiscan.com/CT/text/SB01013/id/858900
1006767,CT,HB07320,"An Act Concerning A Study By The Commission On Economic Competitiveness Of State Tax, Revenue And Bonding Policies.",2017-04-19,H,Bill Passed Temporary,2017-06-06,https://legiscan.com/CT/text/HB07320/id/1611934
1586910,CT,SB00010,An Act Concerning Climate Change Mitigation.,2022-02-10,S,Signed by the Governor,2022-05-10,https://legiscan.com/CT/text/SB00010/id/2580040
1237938,CT,HB07352,An Act Concerning Assorted Revisions And Additions To The Education Statutes.,2019-03-13,H,Referred by House to Committee on Appropriations,2019-04-17,https://legiscan.com/CT/text/HB07352/id/1990682
1478595,CT,HB06619,An Act Concerning The Development Of A Kindergarten To Eighth Grade Model Curriculum.,2021-03-11,H,File Number 649,2021-05-10,https://legiscan.com/CT/text/HB06619/id/2392475
1202603,CT,SB00852,An Act Concerning The Establishing Of A Personal Financial Management Pilot Program.,2019-02-14,S,"Favorable Change of Reference, House to Committee on Appropriations",2019-03-12,https://legiscan.com/CT/text/SB00852/id/1955032
1202508,CT,HB07111,An Act Concerning Revisions To The Comprehensive School Health Education Curriculum And The Availability Of Information On The Dangers Of Vaping For Use By School Districts.,2019-02-14,H,Senate Calendar Number 639,2019-05-31,https://legiscan.com/CT/text/HB07111/id/1967471
1227056,CT,HB07291,An Act Concerning School Security.,2019-03-01,H,Signed by the Governor,2019-06-26,https://legiscan.com/CT/text/HB07291/id/2037444
1351111,CT,HB05352,An Act Concerning Climate Adaptation Strategies At Public Institutions Of Higher Education.,2020-02-27,H,Filed with Legislative Commissioners' Office,2020-03-11,https://legiscan.com/CT/text/HB05352/id/2152684
1421502,CT,HB05530,An Act Concerning The Role Of State Forests In Mitigating Climate Change.,2021-01-26,H,Referred to Joint Committee on Environment,2021-01-26,https://legiscan.com/CT/text/HB05530/id/2257236
1425639,CT,HB05820,An Act Concerning The Connecticut Institute For Resilience And Climate Adaptation.,2021-01-28,H,Referred to Joint Committee on Environment,2021-01-28,https://legiscan.com/CT/text/HB05820/id/2261683
1176908,CT,HB06644,"An Act Requiring An Evaluation Of Public Lands In The Context Of Climate Change, Biodiversity And Public Health.",2019-01-29,H,Referred to Joint Committee on Environment,2019-01-29,https://legiscan.com/CT/text/HB06644/id/1876289
1344039,CT,SB00171,An Act Concerning The Legislative Commissioners' Recommendations For Technical Revisions To The Education And Early Childhood Statutes.,2020-02-20,S,Filed with Legislative Commissioners' Office,2020-03-10,https://legiscan.com/CT/text/SB00171/id/2142278
454329,CT,HB05310,An Act Concerning The Duties And Authority Of The Connecticut Agricultural Experiment Station.,2013-01-16,H,Signed by the Governor,2013-05-28,https://legiscan.com/CT/text/HB05310/id/849107
