bill_id,people_id
1237138,5731
1237138,20290
1237138,20275
1237138,20274
1237138,16432
1237138,10439
1237138,11150
1237138,5779
1237138,17294
1237138,16707
1237138,12908
1237138,17939
1237138,21290
1237138,21361
1237138,20288
1237138,14848
1237138,20271
1237138,20287
1237138,5686
1237138,5703
1597816,5774
1597816,19557
1597816,22090
1597816,22100
1597816,18265
1597816,22107
1597816,22106
1597816,22925
1597816,21355
1597816,22104
1597816,5667
1597816,18262
1597816,5721
1597816,20280
1597816,23102
1597816,5699
1597816,15086
1597816,20272
1597816,21603
1597816,21319
1597816,5650
1597816,16247
1597816,20286
1597816,19333
1597816,20279
1597816,19662
1597816,23113
1597816,11374
1083498,5631
1083498,5712
1083498,10807
1478425,5671
1478425,17223
1344228,13879
1344228,20469
1344228,5807
1344228,5662
1344228,14847
1344228,17916
1344228,15387
1344228,20291
1466039,5759
1466039,20273
1592357,21021
1592357,22951
1592357,18667
1446295,22099
1446295,22101
1446295,20285
1446295,10813
1446295,15293
1446295,22097
1446295,20284
1446295,20913
1434548,5689
1434548,22110
1434548,20915
1434548,18258
1434548,16708
1434548,15085
1434548,5767
1434548,18780
1434548,5728
1434548,15087
1434548,5704
1434548,22094
1434548,20281
1434548,5700
1434548,18240
1434548,20959
1434548,22093
1434548,22102
1434548,18281
1434548,16650
1434548,18237
1434548,20277
1434548,20289
1434548,21321
1434548,20278
1434548,20293
1434548,5718
1434548,22168
1434548,18260
1434548,15082
1434548,15083
1434548,18278
1434548,20282
1434548,17225
1434548,17295
1434548,21034
1434548,21033
1434548,20914
1434548,16245
1434548,22108
1434548,22103
1434548,5736
1434548,16651
1434548,18238
1434548,22109
1434548,5793
1434548,17042
1434548,16955
1434548,10806
1434548,22507
1434548,5723
1434548,5813
1351451,5715
1597829,19373
1597829,22105
1597829,5770
1597829,23108
1597829,19602
1597829,17688
1597829,17219
1597829,20276
1597829,11371
1597829,5818
1597829,17689
1597829,17224
1597829,10808
1597829,18261
1597829,10945
1597829,20631
1597829,22089
1597829,12903
1597829,5652
1597829,21615
1597829,16706
1193850,5683
1193850,5693
1193850,17222
1193850,5789
1193850,11370
1193850,18779
1193850,5706
857683,5769
1331448,18263
1331448,21612
1213951,16029
1213951,16608
1213951,5762
1213951,20379
1213951,18277
1213951,21296
1446160,5711
640160,5768
640160,5802
640160,12653
640160,5726
640160,5738
640160,5674
640160,5695
640160,5710
640160,5659
640160,5724
640160,12657
640160,5694
640160,10809
640160,5750
640160,5792
640160,10438
640160,14845
640160,5746
640160,5784
640160,5812
640160,13073
640160,11152
640160,10803
640160,5697
640160,5473
640160,14406
640160,5645
640160,5646
640160,5771
640160,5636
640160,5725
1416219,5825
1468127,15294
1468127,22092
518948,5756
518948,5673
518948,5644
518948,5633
518948,5648
518948,5676
1006767,5629
1586910,5829
1586910,22096
1227056,5741
1227056,16791
1227056,18279
1227056,10812
1227056,15088
1227056,11373
1227056,5791
1227056,5763
454329,5708
454329,5638
454329,5635
454329,15295
1379425,20574
618560,5722
636824,5766
636824,5669
636824,5690
636824,14405
636824,10441
636824,10444
636824,5742
636824,16235
636824,5665
636824,5682
636824,12773
636824,10810
636824,14397
516782,12651
392797,5630
392797,5800
392797,5747
392797,5641
392797,5828
469432,5729
469432,5664
469432,11269
469432,5811
469432,5660
542001,5786
542001,5653
542001,5705
542001,5717
628824,5783
628824,12902
628824,5773
628824,10804
628824,5814
628824,5672
628824,5748
628824,5765
927271,5753
1485300,5780
1174633,5743
629011,14403
629011,10802
629011,10440
629011,14844
629011,15089
629011,15389
629011,11153
803130,16441
803130,14676
803130,14681
803130,17742
803130,17743
803130,15940
803130,14672
518864,14682
518864,14679
526375,14670
526375,15941
526375,14673
526375,14678
526375,14680
526375,14675
526375,14683
1525256,16442
1525256,22082
1525256,22083
1525256,21658
1513079,17972
1525294,16440
1124190,18426
1124190,18425
