roll_call_id,yea,nay,absent,nv,passed,chamber,desc,date,bill_id
827609,27,2,0,0,1,J,ENV Vote Tally Sheet,2019-03-25,1237138
876092,35,0,0,1,1,S,Senate Roll Call Vote 289 PASS AS AMENDED BY SEN A,2019-05-31,1237138
876093,14,21,0,1,0,S,Senate Roll Call Vote 288 ADOPT SENATE AMD B LCO 10434,2019-05-31,1237138
879583,137,13,1,0,1,H,House Roll Call Vote 318 AS AMENDED ,2019-06-04,1237138
1169026,32,7,1,0,1,J,ED Vote Tally Sheet (Joint Favorable Change of Reference),2022-03-11,1597816
1185599,40,8,3,0,1,J,APP Vote Tally Sheet (Joint Favorable Substitute),2022-04-07,1597816
727753,19,11,0,0,1,J,ENV Vote Tally Sheet,2018-03-22,1083498
727754,11,16,3,0,0,J,ENV Vote Tally Sheet-A,2018-03-22,1083498
750738,34,2,0,0,1,S,Senate Roll Call Vote 263 PASS AS AMENDED BY SEN A,2018-05-09,1083498
751871,133,10,2,0,1,H,House Roll Call Vote 285 AS AMENDED ,2018-05-09,1083498
1034898,16,2,0,0,1,J,INS Vote Tally Sheet (Joint Favorable),2021-03-22,1478425
1071465,32,15,4,0,1,J,APP Vote Tally Sheet (Joint Favorable),2021-05-03,1478425
727927,17,13,0,0,1,J,ENV Vote Tally Sheet,2018-03-22,1098757
749831,29,6,0,1,1,S,Senate Roll Call Vote 237 PASS AS AMENDED BY SEN A,2018-05-07,1098757
823216,15,4,0,0,1,J,INS Vote Tally Sheet,2019-03-14,1223478
1043901,26,0,0,0,1,J,PD Vote Tally Sheet (Joint Favorable Substitute),2021-03-31,1466039
1090964,35,0,0,1,1,S,Senate Roll Call Vote 303 ,2021-06-02,1466039
1163698,30,1,1,0,1,J,ENV Vote Tally Sheet (Joint Favorable),2022-03-04,1592357
1189707,32,1,0,3,1,S,Senate Roll Call Vote 134 ,2022-04-19,1592357
1189708,13,20,0,3,0,S,Senate Roll Call Vote 133 ,2022-04-19,1592357
727641,29,1,0,0,1,J,ENV Vote Tally Sheet,2018-03-22,1098576
727642,0,0,0,0,1,J,ENV Vote Tally Sheet-A,2018-03-22,1098576
749938,36,0,0,0,1,S,Senate Roll Call Vote 233 PASS,2018-05-07,1098576
1039533,21,11,0,0,1,J,ENV Vote Tally Sheet (Joint Favorable Substitute),2021-03-29,1446295
1084674,105,39,7,0,1,H,House Roll Call Vote 188 AS AMENDED ,2021-05-25,1446295
1093368,26,10,0,0,1,S,Senate Roll Call Vote 390 ,2021-06-07,1446295
1032342,22,0,0,0,1,J,HED Vote Tally Sheet (Joint Favorable Substitute),2021-03-18,1434548
1084520,145,0,6,0,1,H,House Roll Call Vote 189 AS AMENDED ,2021-05-25,1434548
1092695,36,0,0,0,1,S,Senate Roll Call Vote 355 ,2021-06-05,1434548
1168941,37,2,1,0,1,J,ED Vote Tally Sheet (Joint Favorable Substitute Change of Reference),2022-03-11,1597829
1185775,50,0,1,0,1,J,APP Vote Tally Sheet (Joint Favorable),2022-04-07,1597829
828431,35,0,2,0,1,J,ED Vote Tally Sheet,2019-03-25,1193850
863737,37,8,6,0,1,J,APP Vote Tally Sheet (Joint Favorable),2019-05-13,1193850
870163,122,24,5,0,1,H,House Roll Call Vote 180 AS AMENDED ,2019-05-22,1193850
875644,36,0,0,0,1,S,Senate Roll Call Vote 272 ,2019-05-30,1193850
539139,145,1,4,0,1,H,House Roll Call Vote 145 AS AMENDED ,2016-04-27,857683
542445,36,0,0,0,1,S,Senate Roll Call Vote 414 ,2016-05-04,857683
557799,36,0,0,0,1,S,Senate Roll Call Vote 410 ,2016-05-04,857683
949066,22,0,0,0,1,J,HED Vote Tally Sheet (Joint Favorable Substitute),2020-03-10,1331448
828399,35,0,2,0,1,J,ED Vote Tally Sheet,2019-03-25,1193499
863469,37,8,6,0,1,J,APP Vote Tally Sheet (Joint Favorable),2019-05-13,1193499
873992,103,43,5,0,1,H,House Roll Call Vote 215 AS AMENDED ,2019-05-28,1193499
873993,102,44,5,0,1,H,House Roll Call Vote 214 HOUSE AMD A,2019-05-28,1193499
816898,14,0,0,0,1,J,KID Vote Tally Sheet,2019-03-07,1213951
865686,24,2,11,0,1,J,ED Vote Tally Sheet (Joint Favorable),2019-05-16,1213951
874567,146,0,5,0,1,H,House Roll Call Vote 231 AS AMENDED ,2019-05-29,1213951
878430,36,0,0,0,1,S,Senate Roll Call Vote 424 ,2019-06-05,1213951
1041836,21,11,0,0,1,J,ENV Vote Tally Sheet (Joint Favorable Substitute),2021-03-31,1446160
362957,36,0,0,0,1,S,Senate Roll Call Vote 387 PASS,2014-05-07,640160
362958,141,0,6,0,1,H,House Roll Call Vote 295 AS AMENDED,2014-05-07,640160
816336,36,0,0,0,1,J,ED Vote Tally Sheet,2019-03-06,1202757
871607,35,1,0,0,1,S,Senate Roll Call Vote 209 PASS,2019-05-23,1202757
1035072,9,4,0,0,1,J,LAB Vote Tally Sheet (Joint Favorable Substitute),2021-03-23,1472619
1079699,23,11,0,2,1,S,Senate Roll Call Vote 206 ,2021-05-19,1472619
1079700,22,11,0,3,1,S,Senate Roll Call Vote 205 ,2021-05-19,1472619
1089811,89,59,3,0,1,H,House Roll Call Vote 248 AS AMENDED ,2021-06-01,1472619
1089812,54,93,4,0,0,H,House Roll Call Vote 247 HOUSE AMD F,2021-06-01,1472619
1089813,70,77,4,0,0,H,House Roll Call Vote 242 HOUSE AMD E,2021-06-01,1472619
1089814,53,92,6,0,0,H,House Roll Call Vote 241 HOUSE AMD D,2021-06-01,1472619
1089815,53,94,4,0,0,H,House Roll Call Vote 240 HOUSE AMD C,2021-06-01,1472619
1089816,53,93,5,0,0,H,House Roll Call Vote 239 HOUSE AMD B,2021-06-01,1472619
1091918,24,12,0,0,1,S,Senate Roll Call Vote 315 ,2021-06-03,1472619
1041861,22,10,0,0,1,J,ENV Vote Tally Sheet (Joint Favorable Substitute),2021-03-31,1468127
279537,36,0,0,0,1,S,Senate Roll Call Vote 303 PASS,2013-05-15,518948
284506,139,3,3,0,1,H,House Roll Call Vote 288,2013-05-28,518948
634843,41,9,1,0,1,J,FIN Vote Tally Sheet,2017-04-27,1006767
1174345,21,5,0,0,1,J,ET Vote Tally Sheet (Joint Favorable),2022-03-22,1586910
1193072,35,0,0,1,1,S,Senate Roll Call Vote 185 ,2022-04-26,1586910
1199145,113,35,3,0,1,H,House Roll Call Vote 131 ,2022-04-28,1586910
827793,33,2,2,0,1,J,ED Vote Tally Sheet,2019-03-25,1237938
1042874,35,3,0,0,1,J,ED Vote Tally Sheet (Joint Favorable Substitute Change of Reference),2021-03-29,1478595
1059747,37,13,1,0,1,J,APP Vote Tally Sheet (Joint Favorable),2021-04-21,1478595
