people_id,party,role,name
17588,,Sen,Global Warming and Climate Change
19623,D,Rep,James Hawkins
21657,D,Rep,Danillo Sena
2483,D,Rep,James Murphy
2475,D,Rep,Elizabeth Malia
22842,D,Sen,John Cronin
21142,D,Rep,Tram Nguyen
13123,D,Rep,John Mahoney
21149,D,Rep,Tommy Vitolo
19185,D,Rep,Mike Connolly
2472,D,Rep,David Linsky
17660,D,Rep,Steven Ultrino
22730,D,Rep,Rob Consalvo
22745,D,Rep,Erika Uyterhoeven
21134,D,Rep,Tami Gouveia
16191,D,Rep,David Rogers
19189,D,Rep,Jack Lewis
21131,D,Rep,Michelle Ciccolo
21065,D,Rep,Natalie Blais
19195,D,Sen,Julian Cyr
21064,D,Sen,Joanne Comerford
17708,D,Rep,Adrian Madaro
2478,D,Rep,Paul McMurtry
2510,D,Sen,Michael Rush
17871,D,Rep,Daniel Ryan
21141,D,Rep,Liz Miranda
21129,D,Rep,David Biele
16201,D,Rep,Daniel Cullinane
2480,D,Rep,Aaron Michlewitz
19193,D,Rep,Chynah Tyler
17961,D,Sen,Joseph Boncore
19304,D,Rep,William Driscoll
2491,D,Rep,Sarah Peake
21145,D,Rep,Lindsay Sabadosa
19306,D,Rep,Dylan Fernandes
22734,D,Rep,Jessica Giannino
2471,D,Sen,Jason Lewis
21638,D,Rep,Kate Lipper-Garabedian
19188,D,Rep,Natalie Higgins
21139,D,Rep,David LeBoeuf
21144,D,Rep,Maria Robinson
2555,D,Sen,James Eldridge
2403,D,Sen,Michael Brady
2531,D,Sen,Walter Timilty
22740,D,Rep,Steven Owens
2427,D,Rep,Lori Ehrlich
22731,D,Rep,Kip Diggs
22743,D,Rep,Orlando Ramos
13058,D,Sen,Nick Collins
2567,D,Sen,Michael Moore
12439,D,Sen,Salvatore DiDomenico
19196,D,Sen,Adam Hinds
16188,D,Rep,Marjorie Decker
21132,D,Rep,Mindy Domb
21133,D,Rep,Nika Elugardo
12461,D,Rep,Russell Holmes
21146,D,Rep,Jon Santiago
17651,D,Rep,Jose Tosado
2426,D,Rep,Carolyn Dykema
19191,D,Rep,Joan Meschino
16258,D,Rep,Roselee Vincent
2445,D,Sen,Anne Gobi
18021,D,Rep,Stephan Hay
2500,D,Rep,Denise Provost
2486,D,Rep,Harold Naughton
13113,D,Rep,Denise Garlick
17963,R,Sen,Patrick O'Connor
2454,D,Rep,Jonathan Hecht
2572,D,Sen,Marc Pacheco
2398,D,Rep,Jennifer Benson
16183,D,Sen,Michael Barrett
17647,D,Rep,Daniel Hunt
19410,D,Sen,Cindy Friedman
13529,,Jnt,"Joint Committee on Children, Families and Persons with Disabilities"
2404,D,Sen,William Brownsberger
2518,D,Rep,Frank Smizik
13111,D,Rep,Paul Schmid
2462,D,Rep,Jay Kaufman
2395,D,Rep,Ruth Balser
2410,D,Rep,James Cantwell
19187,D,Rep,Solomon Goldstein-Rose
16193,D,Rep,Aaron Vega
2511,D,Rep,Byron Rushing
2457,D,Rep,Kevin Honan
2464,D,Rep,Kay Khan
16189,D,Rep,Kenneth Gordon
17655,R,Rep,Mathew Muratore
17646,D,Rep,Christine Barber
2473,D,Sen,Barbara L'Italien
16203,D,Rep,Jay Livingstone
2394,D,Rep,Bruce Ayers
12431,D,Rep,Chris Walsh
2589,D,Rep,Thomas Calter
2466,D,Rep,Robert Koczera
2465,D,Rep,Peter Kocot
2560,D,Sen,Patricia Jehlen
2451,D,Rep,Patricia Haddad
16194,D,Rep,Mary Keefe
2442,D,Rep,Sean Garballey
2575,D,Sen,Stanley Rosenberg
2554,D,Sen,Benjamin Downing
2561,D,Sen,Brian Joyce
12432,D,Sen,Daniel Wolf
2553,D,Sen,Kenneth Donnelly
2469,D,Rep,Stephen Kulik
9611,,Sen,Senate Committee on Ways and Means
13519,,Jnt,Committee on Education
2405,D,Rep,Antonio Cabral
13117,D,Rep,Edward Coppinger
2530,D,Rep,Benjamin Swan
21137,D,Rep,Patrick Kearney
21136,D,Rep,Christopher Hendricks
17645,D,Rep,Carmine Gentile
16187,D,Rep,Josh Cutler
2460,D,Rep,Louis Kafka
16256,D,Sen,John Velis
13121,D,Rep,Gailanne Cariddi
2527,D,Rep,Ellen Story
2513,D,Rep,Tom Sannicandro
2533,D,Rep,Timothy Toomey
2526,D,Rep,Thomas Stanley
2434,D,Rep,Ann-Margaret Ferrante
