people_id,party,role,name
8427,D,Sen,Kalani English
19025,D,Sen,Stanley Chang
11380,D,Sen,Donovan Cruz
8428,D,Sen,William Espero
8445,D,Sen,Mike Gabbard
8432,D,Sen,Josh Green
17914,D,Sen,Kaiali'i Kahele
8385,D,Sen,Gil Keith-agaran
8440,D,Sen,Michelle Kidani
8423,D,Sen,Clarence Nishihara
8346,D,Sen,Karl Rhoads
11377,D,Sen,Gil Riviere
8380,D,Sen,Maile Shimabukuro
8435,D,Sen,Les Ihara
8424,D,Sen,Brian Taniguchi
8430,D,Sen,Shan Tsutsui
8389,D,Rep,Della au Belatti
8342,D,Rep,Henry Aquino
15058,D,Rep,Romy Cachola
11512,D,Rep,Ty Cullen
19022,D,Rep,Cedric Gates
20828,D,Rep,Troy Hashimoto
19023,D,Rep,Daniel Holt
11514,D,Rep,Linda Ichiyama
11376,D,Rep,Aaron Johanson
20848,D,Rep,Lisa Kitagawa
15001,D,Rep,Bertrand Kobayashi
8383,D,Rep,Chris Lee
15002,D,Rep,Nicole Lowen
20849,D,Rep,Scot Matayoshi
8350,D,Rep,Angus McKelvey
8348,D,Rep,John Mizuno
11516,D,Rep,Daynette Morikawa
19089,D,Rep,Nadine Nakamura
8337,D,Rep,Scott Nishimoto
15004,D,Rep,Richard Onishi
20851,D,Rep,Amy Perruso
17299,D,Rep,Joy San Buenaventura
20852,D,Rep,David Tarnas
19050,D,Rep,Chris Todd
8366,D,Rep,James Tokioka
20910,D,Rep,Tina Wildberger
15164,D,Rep,Justin Woodson
8365,D,Rep,Kyle Yamashita
8349,D,Rep,Tom Brower
17292,D,Sen,Breene Harimoto
15008,D,Sen,Russell Ruderman
20761,R,Sen,Kurt Fevella
8447,D,Sen,Donna Kim
20850,D,Sen,Sharon Moriwaki
8370,D,Sen,Glenn Wakai
20847,D,Sen,Dru Kanuha
17296,D,Sen,Jarrett Keohokalole
8426,D,Sen,Rosalyn Baker
17291,D,Sen,Lorraine Inouye
15007,D,Sen,Laura Thielen
8360,D,Rep,Joseph Souki
8362,D,Rep,Karen Awana
8372,D,Rep,Rida Cabanilla Arakawa
8351,D,Rep,Mele Carroll
8345,D,Rep,Isaac Choy
16120,D,Rep,Richard Creagan
8343,D,Rep,Cindy Evans
8356,D,Rep,Faye Hanohano
8377,D,Rep,Sharon Har
15060,D,Rep,Kaniela Ing
13155,D,Rep,Derek Kawakami
8347,D,Rep,Sylvia Luke
8359,D,Rep,Mark Nakashima
15003,D,Rep,Takashi Ohno
8344,D,Rep,Marcus Oshiro
8382,D,Rep,Scott Saiki
8378,D,Rep,Calvin Say
8336,D,Rep,Mark Takai
15005,D,Rep,Gregg Takayama
8338,D,Rep,Roy Takumi
8352,D,Rep,Clift Tsuji
8381,D,Rep,Jessica Wooley
8386,D,Rep,Ryan Yamane
11381,D,Sen,Ronald Kouchi
8437,D,Sen,Suzanne Chun Oakland
8448,D,Sen,Brickwood Galuteria
8421,D,Sen,Clayton Hee
8434,D,Sen,David Ige
11382,D,Sen,Gilbert Kahele
11379,D,Sen,Malama Solomon
8449,D,Sen,Jill Tokuda
22567,D,Sen,Bennette Misalucha
22562,D,Rep,Patrick Branco
22564,D,Rep,Greggor Ilagan
22565,D,Rep,Jeanne Kapela
17298,D,Rep,Matthew Lopresti
22566,D,Rep,Lisa Marten
20929,R,Rep,Val Okimoto
22569,D,Rep,Adrian Tam
20846,D,Rep,Stacelynn Eli
19024,D,Rep,Sean Quinlan
11513,D,Rep,Mark Hashem
22568,D,Rep,Jackson Sayama
17614,D,Rep,Lynn Decoite
22563,D,Rep,Ernesto Ganaden
20928,D,Rep,Dale Kobayashi
23047,D,Rep,Linda Clark
17297,D,Rep,Sam Kong
8429,D,Sen,Carol Fukunaga
11383,D,Sen,Pohai Ryan
22647,D,Sen,Laura Acasio
8369,D,Rep,Denny Coffman
8384,R,Rep,Cynthia Thielen
8358,D,Rep,Ken Ito
16119,R,Rep,Lauren Matsumoto
8388,R,Rep,Gene Ward
15163,R,Rep,Bob McDermott
8450,R,Sen,Sam Slom
8364,D,Rep,Hermina Morita
8367,D,Rep,Blake Oshiro
8376,D,Rep,Pono Chong
8339,D,Rep,Lyla Berg
8353,D,Rep,Jerry Chang
15059,R,Rep,Beth Fukumoto Chang
8438,D,Sen,Robert Bunda
8439,D,Sen,Dwight Takamine
8441,D,Sen,Russell Kokubun
8446,D,Sen,Gary Hooser
8436,D,Sen,Norman Sakamoto
8457,D,Sen,Colleen Hanabusa
19522,D,Rep,Lei Learmont
17316,R,Rep,Andria Tupola
17315,R,Rep,Feki Pouha
8375,R,Rep,Kymberly Pine
13787,D,Rep,Tom Okamura
8340,R,Rep,Barbara Marumoto
8392,R,Rep,Corinne W.L. Ching
11629,D,Rep,Jo Jordan
8433,R,Sen,Fred Hemmings
8354,D,Rep,Joey Manahan
8357,D,Rep,Robert Herkes
7101,D,Sen,Joseph Bolkcom
7136,D,Sen,Robert Hogg
7110,D,Sen,Pam Jochum
21340,D,Sen,Eric Giddens
20957,D,Sen,Claire Celsi
22650,D,Sen,Sarah Trone Garriott
7037,D,Sen,Janet Petersen
17286,D,Rep,Liz Bennett
7047,D,Rep,Charles Isenhart
15608,D,Rep,Bruce Bearinger
15615,D,Rep,Art Staed
7000,D,Rep,Bob Kressig
7033,D,Rep,Beth Wessel-Kroeschell
17287,D,Rep,Timi Brown-powers
11623,D,Rep,Ruth Ann Gaines
7083,D,Rep,Dennis Cohoon
7015,D,Rep,Bruce Hunter
7014,D,Rep,Ako Abdul-Samad
19044,D,Rep,Timothy Kacena
16122,D,Rep,Brian Meyer
19210,D,Rep,Wesley Breckenridge
7016,D,Rep,Mary Gaskill
7003,D,Rep,Cindy Winckler
21055,D,Rep,Molly Donahue
19287,D,Rep,Monica Kurth
7079,D,Rep,Mary Mascher
21094,D,Rep,Kristin Sunde
21090,D,Rep,Karin Derry
7035,D,Rep,Vicki Lensing
21043,D,Rep,Jeff Kurtz
21057,D,Rep,Jennifer Konfrst
21093,D,Rep,Heather Matson
19408,D,Rep,Marti Anderson
15707,D,Rep,Todd Prichard
21091,D,Rep,Lindsay James
21056,D,Rep,Tracy Ehlert
21095,D,Rep,Dave Williams
15611,D,Rep,John Forbes
7078,D,Rep,Phyllis Thede
17288,D,Rep,Charlie McConkey
7006,D,Rep,Sharon Steckman
11622,D,Rep,Mary Wolfe
6992,D,Rep,Mark Smith
6970,D,Rep,Dave Jacoby
7124,D,Sen,Matt McCoy
7151,,Sen,Education
7134,D,Sen,Herman Quirmbach
6978,R,Rep,Ralph Watts
7071,,Rep,State Government
7077,,Rep,Education
11697,D,Rep,Chris Hall
22505,R,Rep,Garrett Gobble
7166,,Sen,Appropriations
21128,D,Sen,Jackie Smith
18959,R,Rep,Andy Mckean
21092,D,Rep,Kenan Judge
21419,D,Rep,Ross Wilburn
19016,D,Rep,Amy Nielsen
7082,D,Rep,Jo Oldson
7087,,Rep,Appropriations
14008,,Rep,Resources and Conservation Committee
14004,,Rep,"Environment, Energy and Technology Committee"
1093,D,Sen,Martin Sandoval
5847,D,Rep,Camille Lilly
937,D,Rep,Andre Thapedi
952,D,Rep,Cynthia Soto
1040,D,Rep,Sara Feigenholtz
936,D,Rep,Al Riley
14572,D,Rep,Emanuel Welch
974,D,Rep,Esther Golar
22636,D,Rep,Maura Hirschauer
22759,D,Rep,Dagmara Avelar
20195,D,Rep,Delia Ramirez
21117,D,Rep,Aaron Ortiz
21539,D,Rep,Edgar Gonzalez
16050,D,Rep,Jaime Andrade
22890,D,Rep,Angelica Guerrero-Cuellar
21538,D,Rep,Eva Dina Delgado
972,D,Rep,Elizabeth Hernandez
21325,D,Rep,Barbara Hernandez
13122,D,Rep,Kelly Cassidy
13949,D,Rep,Marcus Evans
21054,D,Rep,Daniel Didech
19104,D,Rep,Theresa Mah
15633,D,Rep,Kathleen Willis
16240,D,Rep,Anna Moeller
21112,D,Sen,Karina Villa
18658,D,Sen,Cristina Castro
14324,D,Sen,Patricia Vanpelt-Watkins
14317,D,Sen,Michael Hastings
19687,D,Sen,Celina Villanueva
17968,D,Sen,Omar Aquino
17721,D,Sen,Laura Murphy
22250,D,Sen,Cristina Pacione-Zayas
19404,D,Sen,John Connor
22877,D,Sen,Mike Simmons
20214,D,Sen,Ram Villivalam
1090,D,Sen,Linda Holmes
14308,D,Sen,Laura Fine
16806,D,Sen,Scott Bennett
20211,D,Sen,Christopher Belt
15382,D,Sen,Robert Martwick
1074,D,Sen,Ira Silverstein
1075,D,Sen,Iris Martinez
1077,D,Sen,Jacqueline Collins
1100,R,Sen,Pamela Althoff
1103,D,Sen,Susan Garrett
12175,D,Rep,Kelly Burke
985,R,Rep,James Durkin
969,D,Rep,Edward Acevedo
983,D,Rep,Jay Hoffman
1057,R,Sen,Dale Risinger
16592,R,Sen,Terri Bryant
18659,R,Sen,Dale Fowler
1115,R,Rep,Harry Ramey
1021,R,Rep,Mike Fortner
1019,D,Rep,Mike Boland
1018,R,Rep,Michael Tryon
1015,D,Rep,Michael Zalewski
1011,D,Rep,Marlow Colvin
1009,D,Rep,Maria Berrios
1005,D,Rep,Linda LaVia
1004,D,Rep,LaShawn Ford
1023,D,Rep,Naomi Jakobsson
1031,D,Rep,Robert Flider
1032,D,Rep,Robert Rita
1112,D,Rep,Jehan Gordon
1049,D,Rep,William Burns
1045,D,Rep,Thomas Holbrook
1044,R,Rep,Suzanne Bassi
1043,D,Rep,Susana Mendoza
1042,R,Rep,Sidney Mathias
1039,R,Rep,Sandy Cole
1002,D,Rep,Kevin McCarthy
999,D,Rep,Keith Farnham
997,D,Rep,Kathleen Ryg
964,R,Rep,Dennis Reboletti
963,D,Rep,Deborah Mell
958,R,Rep,Dave Winters
956,D,Rep,Daniel Beiser
955,D,Rep,Daniel Burke
951,D,Rep,Constance Howard
949,R,Rep,Chapin Rose
968,D,Rep,Eddie Washington
970,D,Rep,Elaine Nekritz
996,D,Rep,Karen May
995,D,Rep,Karen Yarbrough
994,D,Rep,Julie Hamos
980,D,Rep,Jack Franks
978,D,Rep,Gregory Harris
975,R,Rep,Franco Coladipietro
971,R,Rep,Elizabeth Coulson
1073,D,Sen,Heather Steans
14312,D,Sen,Melinda Bush
1098,D,Sen,Michael Frerichs
1097,D,Sen,Michael Noland
1060,D,Sen,Dan Kotowski
14316,D,Sen,Napoleon Harris
14320,D,Sen,Julie Morrison
12114,D,Sen,Daniel Biss
948,D,Rep,Carol Sente
4407,D,Rep,Robyn Gabel
15634,D,Rep,Martin Moylan
942,D,Rep,Barbara Currie
1069,D,Sen,Emil Jones
11653,D,Rep,Ann Williams
13128,,Rep,Dena Carli
21119,D,Rep,Kambium Buckner
11595,D,Rep,Thaddeus Jones
15691,D,Rep,Stephanie Kifowit
19419,D,Rep,Jonathan Carroll
21107,D,Rep,Debbie Meyers-Martin
1010,D,Rep,Mark Walker
21041,D,Rep,Anne Stava-Murray
21111,D,Rep,Terra Costa Howard
15687,D,Rep,Deborah Conroy
21028,D,Rep,Joyce Mason
22794,R,Rep,Seth Lewis
14314,D,Sen,Thomas Cullerton
20391,D,Sen,Laura Ellman
22996,D,Rep,Michael Kelly
1084,D,Sen,John Sullivan
11229,R,Rep,Norine Hammond
977,D,Rep,Fred Crespo
1033,R,Rep,Robert Pritchard
1085,D,Sen,Kimberly Lightford
20213,D,Sen,Robert Peters
1116,D,Rep,William Davis
15690,D,Rep,Frances Hurley
12985,D,Rep,Derrick Smith
15381,D,Rep,Sam Yingling
15693,D,Rep,Natalie Manley
13973,D,Rep,Elgie Sims
940,D,Rep,Anthony DeLuca
941,D,Rep,Arthur Turner
15632,D,Rep,Christian Mitchell
1063,D,Sen,David Koehler
21674,D,Sen,Adriane Johnson
13956,D,Rep,Lawrence Walsh
19128,D,Rep,Latoya Greenwood
21364,D,Rep,Jawaharial Williams
1035,R,Rep,Ron Stephens
1034,R,Rep,Roger Eddy
957,R,Rep,Darlene Senger
12118,R,Sen,Thomas Johnson
20392,D,Sen,Ann Gillespie
18542,D,Rep,Justin Slaughter
19117,R,Rep,Tony McCombie
998,R,Rep,Kay Hatcher
14318,D,Sen,Andy Manar
1013,R,Sen,Michael Connelly
1104,D,Sen,Terry Link
1095,D,Sen,Mattie Hunter
1012,D,Rep,Mary Flowers
953,R,Rep,Dan Brady
1047,R,Rep,Tom Cross
1062,R,Sen,Dave Syverson
973,D,Rep,Emily McAsey
15145,D,Rep,Katherine Cloonen
18878,D,Rep,Juliana Stratton
17411,D,Rep,Carol Ammons
9627,D,Rep,Rita Mayfield
1106,D,Sen,Toi Hutchinson
12174,D,Sen,Steven Landek
1051,D,Sen,Antonio Munoz
1087,D,Sen,Kwame Raoul
15692,D,Rep,Mike Smiddy
1022,D,Rep,Monique Davis
1001,D,Rep,Kenneth Dunkin
12077,D,Rep,Michelle Mussman
1107,D,Sen,William Delgado
1066,D,Sen,Don Harmon
21668,D,Rep,Lakesia Collins
1068,D,Sen,Edward Maloney
1007,D,Rep,Louis Lang
990,D,Rep,John D'Amico
10202,D,Sen,John Mulroe
1081,D,Sen,Jeffrey Schoenberg
1067,D,Sen,Donne Trotter
17966,R,Rep,David Olsen
967,D,Rep,Eddie Jackson
11929,D,Sen,William Cunningham
21392,D,Sen,Patrick Joyce
21047,D,Rep,Maurice West
22560,D,Rep,Dave Vella
22787,D,Rep,Denyse Wang Stoneback
20960,D,Rep,Bob Morgan
20194,D,Rep,Jennifer Gong-Gershowitz
21378,D,Rep,Lindsey LaPointe
17366,D,Rep,Will Guzzardi
19125,D,Rep,Katie Stuart
17724,D,Rep,Sonya Harper
14323,D,Sen,Steve Stadelman
993,D,Rep,Joseph Lyons
15696,D,Rep,Silvana Tabares
16593,R,Rep,Margo McDermed
17935,R,Sen,Dan McConchie
1025,D,Rep,Patrick Verschoore
991,R,Rep,John Cavaletto
1006,D,Rep,Lisa Dugan
20390,D,Sen,Rachelle Crowe
19688,R,Sen,Craig Wilcox
22249,D,Sen,Meg Loughran Cappel
22884,D,Sen,Doris Turner
11644,R,Rep,David Harris
14310,D,Sen,Jennifer Bertino-Tarrant
961,R,Rep,David Reis
11225,R,Rep,Chad Hays
11230,R,Rep,Richard Morthland
1079,D,Sen,James Clayborne
13972,R,Rep,John Cabello
11226,R,Rep,Dwight Kay
984,R,Rep,Jil Tracy
13304,D,Rep,Jerry Costello
16054,R,Rep,Brian Stewart
11646,R,Rep,Thomas Morrison
1024,R,Rep,Patricia Bellock
19130,R,Rep,Jerry Long
16259,D,Rep,Litesa Wallace
16591,R,Rep,Steven Andersson
18539,D,Rep,Melissa Conyears-Ervin
18540,R,Rep,Nicholas Sauer
11334,R,Sen,Chris Nybo
19675,R,Sen,Donald DeWitte
1082,D,Sen,John Cullerton
1014,D,Rep,Michael Madigan
19667,R,Rep,Deanne Mazzochi
11231,R,Rep,Wayne Rosenthal
19571,D,Rep,Nicholas Smith
22246,D,Rep,Margaret Croke
18733,R,Rep,Allen Skillicorn
976,D,Rep,Frank Mautino
1108,D,Sen,William Haine
1065,D,Sen,Deanna Demuzio
20902,R,Rep,Dan Caulkins
6688,,Rep,Federal and State Affairs
6674,,Rep,Appropriations
6683,,Rep,Agriculture and Natural Resources
18835,,Rep,"Energy, Utilities and Telecommunications"
6841,,Sen,Federal and State Affairs
6755,,Rep,Health and Human Services
1151,R,Rep,Jim Gooch
14429,R,Rep,Lynn Bechler
1133,R,Rep,Tim Couch
14428,R,Rep,Kenny Imes
16669,R,Rep,James Tipton
20387,R,Rep,Matthew Koch
22054,R,Rep,Jennifer Henson Decker
20386,R,Rep,Ed Massey
13885,R,Rep,Bart Rowland
18493,R,Rep,Steve Riley
1127,R,Rep,John Carney
18338,R,Rep,Melinda Prunty
18248,R,Rep,William Reed
20559,D,Rep,Robert Wiederstein
16640,D,Rep,George Brown
1214,D,Rep,Brent Yonts
1159,R,Rep,Jeff Hoover
1187,D,Rep,Jody Richards
14422,R,Rep,David Meade
21423,R,Rep,Kimberly Banta
20389,R,Rep,Chris Freeland
21424,R,Rep,Samara Heavrin
13784,R,Rep,Regina Huff
11085,R,Rep,Kim King
1179,R,Rep,David Osborne
1182,D,Rep,Ruth Palumbo
18429,R,Rep,Phillip Pratt
