bill_id,state,bill_number,title,date of introduction,chamber of origin,final status,date of final,text
925520,HI,SB559,Relating To Climate Change.,2017-01-20,S,"Act 032, 06/06/2017 (Gov. Msg. No. 1132).",2017-06-08,https://legiscan.com/HI/text/SB559/id/1605411
378074,HI,SB2745,Planning Act; Priority Guidelines; Climate Change,2012-01-25,,"(S) Act 286, 7/9/2012 (Gov. Msg. No. 1403).",2012-07-10,https://legiscan.com/HI/text/SB2745/id/632985
1319280,HI,HB2718,Relating To Climate Change Mitigation And Adaptation.,2020-01-23,H,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM.",2020-05-13,https://legiscan.com/HI/text/HB2718/id/2184811
1569252,HI,HB1842,Relating To Climate Change Impacts On Human Health.,2022-01-24,H,Report adopted; Passed Second Reading and referred to WAM.,2022-03-24,https://legiscan.com/HI/text/HB1842/id/2538795
1173167,HI,HB1487,Relating To Climate Change.,2019-01-24,H,Received notice of Senate conferees (Sen. Com. No. 948).,2019-04-22,https://legiscan.com/HI/text/HB1487/id/1985879
1291007,HI,HB1487,Relating To Climate Change.,2019-01-24,H,Received notice of all Senate conferees being discharged (Sen. Com. No. 535).,2020-06-22,https://legiscan.com/HI/text/HB1487/id/2078482
1163918,HI,SB944,Relating To Climate Change.,2019-01-18,S,Passed Second Reading and referred to the committee(s) on WLH with none voting aye with reservations; none voting no (0) and Representative(s) Takumi excused (1).,2019-03-14,https://legiscan.com/HI/text/SB944/id/1942384
1290701,HI,SB944,Relating To Climate Change.,2019-01-18,S,Carried over to 2020 Regular Session.,2019-12-01,https://legiscan.com/HI/text/SB944/id/2077964
697037,HI,HB591,Interagency Climate Adaptation Committee; Duties; Reports,2015-01-26,H,The committee(s) on HLT recommend(s) that the measure be deferred.,2015-03-04,https://legiscan.com/HI/text/HB591/id/1133883
805509,HI,HB591,Interagency Climate Adaptation Committee; Duties; Reports,2015-01-26,H,Carried over to 2016 Regular Session.,2015-12-17,https://legiscan.com/HI/text/HB591/id/1283134
1163842,HI,SB930,Relating To Climate Change.,2019-01-18,S,Report adopted; Passed Second Reading and referred to WAM.,2019-02-15,https://legiscan.com/HI/text/SB930/id/1862287
1289041,HI,SB930,Relating To Climate Change.,2019-01-18,S,Carried over to 2020 Regular Session.,2019-12-01,https://legiscan.com/HI/text/SB930/id/2075196
1313983,HI,SB2430,Relating To Climate Change Mitigation And Adaptation.,2020-01-17,S,"Referred to EEP/HLT, FIN, referral sheet 36",2020-03-09,https://legiscan.com/HI/text/SB2430/id/2155350
