roll_call_id,yea,nay,absent,nv,passed,chamber,desc,date,bill_id
1044960,13,1,0,0,1,S,"Do pass as amended, but first amend, and re-refer to the Committee on [Energy, Utilities and Communications]",2021-04-05,1459246
1083809,40,0,0,0,1,S,Senate 3rd Reading SB757 Limón,2021-05-24,1459246
1104239,19,0,0,0,1,A,Do pass and be re-referred to the Committee on [Appropriations],2021-07-06,1459246
1106330,16,0,0,0,1,A,Do pass. To Consent Calendar,2021-08-19,1459246
1106574,73,0,6,0,1,A,SB 757 Limón Consent Calendar Second Day Regular Session,2021-08-26,1459246
1107159,39,0,1,0,1,S,Unfinished Business SB757 Limón Concurrence,2021-08-30,1459246
1059151,6,2,0,1,1,S,"Do pass as amended, but first amend, and re-refer to the Committee on [Environmental Quality]",2021-04-21,1453512
1066740,5,2,0,0,1,S,"Do pass, but first be re-referred to the Committee on [Appropriations]",2021-04-29,1453512
1078766,7,0,0,0,1,S,Placed on suspense file,2021-05-17,1453512
643619,26,9,0,5,1,S,Senate 3rd Reading SB83 B. & F.R,2017-05-11,908684
842878,27,9,0,2,1,S,Senate 3rd Reading SB75 B. & F.R. (Mitchell),2019-04-11,1147485
887022,31,7,0,2,1,S,Unfinished Business SB75 B. & F.R. (Mitchell) Concurrence,2019-06-24,1147485
887023,62,14,0,3,1,A,SB 75 B. & F. R. Senate Third Reading By TING,2019-06-24,1147485
